Time (ms),Main Avg Current (mA)
0.00,3.82
0.20,3.756
0.40,3.772
0.60,3.778
0.80,3.76
1.00,3.842
1.20,3.828
1.40,3.74
1.60,3.778
1.80,3.726
2.00,3.822
2.20,3.786
2.40,3.778
2.60,3.828
2.80,3.762
3.00,3.742
3.20,3.886
3.40,3.698
3.60,3.792
3.80,3.808
4.00,3.748
4.20,3.738
4.40,3.776
4.60,3.834
4.80,3.8
5.00,3.844
5.20,3.754
5.40,3.728
5.60,3.812
5.80,3.8
6.00,3.76
6.20,3.732
6.40,3.834
6.60,3.786
6.80,3.79
7.00,3.75
7.20,3.748
7.40,3.794
7.60,3.8
7.80,3.798
8.00,3.83
8.20,3.748
8.40,3.782
8.60,3.74
8.80,3.828
9.00,3.826
9.20,3.808
9.40,3.712
9.60,3.804
9.80,3.844
10.00,3.738
10.20,3.738
10.40,3.808
10.60,3.772
10.80,3.75
11.00,3.826
11.20,3.786
11.40,3.74
11.60,3.778
11.80,3.772
12.00,3.834
12.20,3.816
12.40,3.786
12.60,3.738
12.80,3.786
13.00,3.804
13.20,3.756
13.40,3.748
13.60,3.83
13.80,3.806
14.00,3.768
14.20,3.76
14.40,3.816
14.60,3.746
14.80,3.848
15.00,3.786
15.20,3.742
15.40,3.79
15.60,3.812
15.80,3.77
16.00,3.77
16.20,3.748
16.40,3.806
16.60,3.838
16.80,3.756
17.00,3.76
17.20,3.828
17.40,3.816
17.60,3.782
17.80,3.768
18.00,3.77
18.20,3.756
18.40,3.786
18.60,3.828
18.80,3.768
19.00,3.792
19.20,3.768
19.40,3.794
19.60,3.812
19.80,3.764
20.00,3.768
20.20,3.776
20.40,3.79
20.60,3.826
20.80,3.764
21.00,3.792
21.20,3.844
21.40,3.694
21.60,3.828
21.80,3.794
22.00,3.724
22.20,3.812
22.40,3.812
22.60,3.782
22.80,3.768
23.00,3.794
23.20,3.794
23.40,3.776
23.60,3.756
23.80,3.734
24.00,3.83
24.20,3.798
24.40,3.784
24.60,3.82
24.80,3.746
25.00,3.75
25.20,3.764
25.40,3.85
25.60,3.82
25.80,3.694
26.00,3.778
26.20,3.8
26.40,3.782
26.60,3.8
26.80,3.838
27.00,3.738
27.20,3.782
27.40,3.794
27.60,3.8
27.80,3.764
28.00,3.79
28.20,3.778
28.40,3.748
28.60,3.77
28.80,3.848
29.00,3.764
29.20,3.772
29.40,3.768
29.60,3.804
29.80,3.808
30.00,3.806
30.20,3.756
30.40,3.768
30.60,3.808
30.80,3.808
31.00,3.806
31.20,3.754
31.40,3.804
31.60,3.764
31.80,3.762
32.00,3.87
32.20,3.756
32.40,3.75
32.60,3.782
32.80,3.798
33.00,3.762
33.20,3.806
33.40,3.786
33.60,3.808
33.80,3.746
34.00,3.786
34.20,3.74
34.40,3.814
34.60,3.844
34.80,3.782
35.00,3.764
35.20,3.738
35.40,3.844
35.60,3.79
35.80,3.742
36.00,3.75
36.20,3.8
36.40,3.816
36.60,3.756
36.80,3.798
37.00,3.808
37.20,3.778
37.40,3.742
37.60,3.79
37.80,3.798
38.00,3.826
38.20,3.794
38.40,3.834
38.60,3.734
38.80,3.726
39.00,3.822
39.20,3.838
39.40,3.74
39.60,3.72
39.80,3.816
40.00,3.77
40.20,3.79
40.40,3.806
40.60,3.764
40.80,3.814
41.00,3.8
41.20,3.734
41.40,3.778
41.60,3.794
41.80,3.786
42.00,3.782
42.20,3.808
42.40,3.822
42.60,3.754
42.80,3.698
43.00,3.812
43.20,3.816
43.40,3.822
43.60,3.772
43.80,3.804
44.00,3.76
44.20,3.754
44.40,3.772
44.60,3.848
44.80,3.812
45.00,3.778
45.20,3.72
45.40,3.72
45.60,3.872
45.80,3.784
46.00,3.754
46.20,3.822
46.40,3.782
46.60,3.77
46.80,3.772
47.00,3.844
47.20,3.778
47.40,3.74
47.60,3.79
47.80,3.798
48.00,3.75
48.20,3.792
48.40,3.794
48.60,3.778
48.80,3.804
49.00,3.842
49.20,3.738
49.40,3.704
49.60,3.844
49.80,3.828
50.00,3.77
50.20,3.74
50.40,3.734
50.60,3.816
50.80,3.836
51.00,3.75
51.20,3.806
51.40,3.8
51.60,3.756
51.80,3.804
52.00,3.782
52.20,3.822
52.40,3.762
52.60,3.798
52.80,3.72
53.00,3.778
53.20,3.836
53.40,3.798
53.60,3.748
53.80,3.792
54.00,3.782
54.20,3.778
54.40,3.776
54.60,3.814
54.80,3.82
55.00,3.738
55.20,3.75
55.40,3.79
55.60,3.828
55.80,3.794
56.00,3.764
56.20,3.748
56.40,3.77
56.60,3.814
56.80,3.816
57.00,3.764
57.20,3.834
57.40,3.732
57.60,3.75
57.80,3.768
58.00,3.762
58.20,3.838
58.40,3.798
58.60,3.74
58.80,3.76
59.00,3.834
59.20,3.778
59.40,3.782
59.60,3.8
59.80,3.72
60.00,3.812
60.20,3.784
60.40,3.792
60.60,3.746
60.80,3.776
61.00,3.804
61.20,3.794
61.40,3.794
61.60,3.804
61.80,3.806
62.00,3.732
62.20,3.764
62.40,3.77
62.60,3.842
62.80,3.784
63.00,3.754
63.20,3.756
63.40,3.844
63.60,3.814
63.80,3.734
64.00,3.688
64.20,3.872
64.40,3.82
64.60,3.778
64.80,3.76
65.00,3.786
65.20,3.83
65.40,3.768
65.60,3.792
65.80,3.746
66.00,3.794
66.20,3.838
66.40,3.76
66.60,3.772
66.80,3.756
67.00,3.836
67.20,3.784
67.40,3.804
67.60,3.762
67.80,3.764
68.00,3.822
68.20,3.79
68.40,3.756
68.60,3.782
68.80,3.778
69.00,3.756
69.20,3.836
69.40,3.772
69.60,3.734
69.80,3.834
70.00,3.79
70.20,3.784
70.40,3.772
70.60,3.792
70.80,3.76
71.00,3.798
71.20,3.8
71.40,3.772
71.60,3.742
71.80,3.804
72.00,3.776
72.20,3.8
72.40,3.826
72.60,3.76
72.80,3.782
73.00,3.772
73.20,3.806
73.40,3.804
73.60,3.776
73.80,3.746
74.00,3.8
74.20,3.816
74.40,3.79
74.60,3.754
74.80,3.8
75.00,3.764
75.20,3.892
75.40,3.726
75.60,3.74
75.80,3.778
76.00,3.77
76.20,3.782
76.40,3.794
76.60,3.794
76.80,3.794
77.00,3.76
77.20,3.79
77.40,3.814
77.60,3.798
77.80,3.756
78.00,3.778
78.20,3.79
78.40,3.822
78.60,3.794
78.80,3.768
79.00,3.75
79.20,3.782
79.40,3.794
79.60,3.772
79.80,3.792
80.00,3.756
80.20,3.838
80.40,3.768
80.60,3.804
80.80,3.742
81.00,3.76
81.20,3.82
81.40,3.8
81.60,3.812
81.80,3.738
82.00,3.764
82.20,3.782
82.40,3.762
82.60,3.806
82.80,3.844
83.00,3.754
83.20,3.778
83.40,3.806
83.60,3.738
83.80,3.77
84.00,3.806
84.20,3.826
84.40,3.786
84.60,3.746
84.80,3.782
85.00,3.808
85.20,3.816
85.40,3.754
85.60,3.768
85.80,3.778
86.00,3.778
86.20,3.79
86.40,3.786
86.60,3.806
86.80,3.784
87.00,3.746
87.20,3.794
87.40,3.812
87.60,3.77
87.80,3.782
88.00,3.776
88.20,3.756
88.40,3.77
88.60,3.794
88.80,3.838
89.00,3.782
89.20,3.756
89.40,3.812
89.60,3.768
89.80,3.74
90.00,3.762
90.20,3.822
90.40,3.848
90.60,3.76
90.80,3.748
91.00,3.792
91.20,3.764
91.40,3.826
91.60,3.746
91.80,3.822
92.00,3.794
92.20,3.72
92.40,3.87
92.60,3.746
92.80,3.738
93.00,3.772
93.20,3.866
93.40,3.718
93.60,3.778
93.80,3.794
94.00,3.794
94.20,3.746
94.40,3.768
94.60,3.826
94.80,3.778
95.00,3.746
95.20,3.828
95.40,3.748
95.60,3.776
95.80,3.812
96.00,3.782
96.20,3.826
96.40,3.76
96.60,3.748
96.80,3.8
97.00,3.842
97.20,3.746
97.40,3.768
97.60,3.808
97.80,3.786
98.00,3.782
98.20,3.764
98.40,3.816
98.60,3.764
98.80,3.834
99.00,3.748
99.20,3.798
99.40,3.772
99.60,3.798
99.80,3.79
100.00,3.794
100.20,3.75
100.40,3.798
100.60,3.778
100.80,3.772
101.00,3.812
101.20,3.812
101.40,3.724
101.60,3.8
101.80,3.778
102.00,3.812
102.20,3.756
102.40,3.764
102.60,3.82
102.80,3.812
103.00,3.786
103.20,3.792
103.40,3.712
103.60,3.79
103.80,3.826
104.00,3.756
104.20,3.786
104.40,3.804
104.60,3.772
104.80,3.734
105.00,3.82
105.20,3.858
105.40,3.746
105.60,3.8
105.80,3.756
106.00,3.76
106.20,3.79
106.40,3.798
106.60,3.794
106.80,3.778
107.00,3.76
107.20,3.822
107.40,3.748
107.60,3.782
107.80,3.816
108.00,3.812
108.20,3.738
108.40,3.756
108.60,3.778
108.80,3.83
109.00,3.808
109.20,3.778
109.40,3.712
109.60,3.754
109.80,3.822
110.00,3.844
110.20,3.77
110.40,3.746
110.60,3.74
110.80,3.8
111.00,3.83
111.20,3.872
111.40,3.702
111.60,3.742
111.80,3.75
112.00,3.792
112.20,3.82
112.40,3.804
112.60,3.77
112.80,3.782
113.00,3.786
113.20,3.776
113.40,3.856
113.60,3.776
113.80,3.754
114.00,3.728
114.20,3.828
114.40,3.772
114.60,3.804
114.80,3.828
115.00,3.762
115.20,3.79
115.40,3.778
115.60,3.782
115.80,3.74
116.00,3.814
116.20,3.814
116.40,3.734
116.60,3.768
116.80,3.792
117.00,3.79
117.20,3.866
117.40,3.754
117.60,3.76
117.80,3.764
118.00,3.772
118.20,3.77
118.40,3.816
118.60,3.822
118.80,3.792
119.00,3.748
119.20,3.762
119.40,3.746
119.60,3.83
119.80,3.836
120.00,3.77
120.20,3.778
120.40,3.786
120.60,3.778
120.80,3.808
121.00,3.782
121.20,3.762
121.40,3.742
121.60,3.794
121.80,3.76
122.00,3.778
122.20,3.798
122.40,3.83
122.60,3.778
122.80,3.738
123.00,3.746
123.20,3.85
123.40,3.778
123.60,3.76
123.80,3.762
124.00,3.764
124.20,3.834
124.40,3.79
124.60,3.77
124.80,3.792
125.00,3.804
125.20,3.74
125.40,3.746
125.60,3.828
125.80,3.8
126.00,3.778
126.20,3.792
126.40,3.784
126.60,3.768
126.80,3.822
127.00,3.798
127.20,3.704
127.40,3.798
127.60,3.808
127.80,3.834
128.00,3.738
128.20,3.786
128.40,3.776
128.60,3.756
128.80,3.842
129.00,3.77
129.20,3.822
129.40,3.772
129.60,3.706
129.80,3.776
130.00,3.794
130.20,3.858
130.40,3.768
130.60,3.768
130.80,3.702
131.00,3.826
131.20,3.856
131.40,3.776
131.60,3.738
131.80,3.778
132.00,3.778
132.20,3.83
132.40,3.77
132.60,3.792
132.80,3.776
133.00,3.782
133.20,3.768
133.40,3.826
133.60,3.798
133.80,3.746
134.00,3.812
134.20,3.756
134.40,3.822
134.60,3.842
134.80,3.764
135.00,3.754
135.20,3.75
135.40,3.772
135.60,3.842
135.80,3.768
136.00,3.746
136.20,3.756
136.40,3.8
136.60,3.878
136.80,3.798
137.00,3.806
137.20,3.706
137.40,3.728
137.60,3.894
137.80,3.808
138.00,3.724
138.20,3.794
138.40,3.792
138.60,3.772
138.80,3.772
139.00,3.816
139.20,3.792
139.40,3.74
139.60,3.8
139.80,3.764
140.00,3.826
140.20,3.76
140.40,3.76
140.60,3.792
140.80,3.776
141.00,3.822
141.20,3.812
141.40,3.756
141.60,3.738
141.80,3.76
142.00,3.806
142.20,3.822
142.40,3.82
142.60,3.724
142.80,3.778
143.00,3.8
143.20,3.768
143.40,3.816
143.60,3.74
143.80,3.76
144.00,3.812
144.20,3.83
144.40,3.768
144.60,3.768
144.80,3.742
145.00,3.808
145.20,3.814
145.40,3.784
145.60,3.77
145.80,3.798
146.00,3.794
146.20,3.778
146.40,3.724
146.60,3.76
146.80,3.844
147.00,3.794
147.20,3.826
147.40,3.746
147.60,3.794
147.80,3.772
148.00,3.83
148.20,3.806
148.40,3.762
148.60,3.76
148.80,3.734
149.00,3.776
149.20,3.814
149.40,3.828
149.60,3.798
149.80,3.764
150.00,3.806
150.20,3.776
150.40,3.778
150.60,3.746
150.80,3.822
151.00,3.798
151.20,3.772
151.40,3.704
151.60,3.808
151.80,3.83
152.00,3.77
152.20,3.814
152.40,3.726
152.60,3.79
152.80,3.794
153.00,3.822
153.20,3.772
153.40,3.776
153.60,3.772
153.80,3.792
154.00,3.808
154.20,3.732
154.40,3.85
154.60,3.76
154.80,3.746
155.00,3.794
155.20,3.79
155.40,3.806
155.60,3.786
155.80,3.798
156.00,3.75
156.20,3.75
156.40,3.804
156.60,3.786
156.80,3.772
157.00,3.782
157.20,3.76
157.40,3.776
157.60,3.838
157.80,3.838
158.00,3.712
158.20,3.764
158.40,3.748
158.60,3.712
158.80,3.826
159.00,3.814
159.20,3.848
159.40,3.756
159.60,3.778
159.80,3.848
160.00,3.704
160.20,3.716
160.40,3.842
160.60,3.814
160.80,3.786
161.00,3.782
161.20,3.784
161.40,3.776
161.60,3.764
161.80,3.77
162.00,3.768
162.20,3.822
162.40,3.812
162.60,3.782
162.80,3.762
163.00,3.784
163.20,3.812
163.40,3.77
163.60,3.794
163.80,3.732
164.00,3.834
164.20,3.75
164.40,3.814
164.60,3.798
164.80,3.784
165.00,3.76
165.20,3.852
165.40,3.72
165.60,3.764
165.80,3.794
166.00,3.75
166.20,3.834
166.40,3.8
166.60,3.792
166.80,3.786
167.00,3.76
167.20,3.808
167.40,3.764
167.60,3.786
167.80,3.776
168.00,3.76
168.20,3.836
168.40,3.808
168.60,3.756
168.80,3.746
169.00,3.728
169.20,3.834
169.40,3.816
169.60,3.786
169.80,3.72
170.00,3.822
170.20,3.822
170.40,3.748
170.60,3.77
170.80,3.778
171.00,3.784
171.20,3.82
171.40,3.784
171.60,3.784
171.80,3.742
172.00,3.794
172.20,3.782
172.40,3.806
172.60,3.812
172.80,3.756
173.00,3.786
173.20,3.746
173.40,3.816
173.60,3.806
173.80,3.738
174.00,3.822
174.20,3.804
174.40,3.754
174.60,3.756
174.80,3.798
175.00,3.816
175.20,3.764
175.40,3.764
175.60,3.77
175.80,3.834
176.00,3.76
176.20,3.734
176.40,3.75
176.60,3.82
176.80,3.842
177.00,3.776
177.20,3.794
177.40,3.746
177.60,3.76
177.80,3.792
178.00,3.778
178.20,3.834
178.40,3.794
178.60,3.738
178.80,3.778
179.00,3.75
179.20,3.822
179.40,3.828
179.60,3.748
179.80,3.742
180.00,3.806
180.20,3.79
180.40,3.778
180.60,3.786
180.80,3.836
181.00,3.812
181.20,3.726
181.40,3.738
181.60,3.816
181.80,3.848
182.00,3.8
182.20,3.746
182.40,3.776
182.60,3.778
182.80,3.746
183.00,3.82
183.20,3.814
183.40,3.764
183.60,3.804
183.80,3.756
184.00,3.834
184.20,3.776
184.40,3.72
184.60,3.816
184.80,3.79
185.00,3.814
185.20,3.76
185.40,3.72
185.60,3.842
185.80,3.794
186.00,3.748
186.20,3.778
186.40,3.8
186.60,3.794
186.80,3.836
187.00,3.728
187.20,3.808
187.40,3.804
187.60,3.756
187.80,3.79
188.00,3.756
188.20,3.808
188.40,3.842
188.60,3.762
188.80,3.778
189.00,3.718
189.20,3.786
189.40,3.816
189.60,3.828
189.80,3.782
190.00,3.71
190.20,3.782
190.40,3.778
190.60,3.816
190.80,3.834
191.00,3.764
191.20,3.724
191.40,3.79
191.60,3.86
191.80,3.704
192.00,3.772
192.20,3.82
192.40,3.814
192.60,3.726
192.80,3.784
193.00,3.826
193.20,3.794
193.40,3.794
193.60,3.71
193.80,3.792
194.00,3.82
194.20,3.79
194.40,3.77
194.60,3.836
194.80,3.768
195.00,3.742
195.20,3.82
195.40,3.716
195.60,3.826
195.80,3.776
196.00,3.814
196.20,3.772
196.40,3.83
196.60,3.74
196.80,3.718
197.00,3.772
197.20,3.866
197.40,3.816
197.60,3.75
197.80,3.784
198.00,3.826
198.20,3.728
198.40,3.742
198.60,3.812
198.80,3.844
199.00,3.792
199.20,3.738
199.40,3.742
199.60,3.828
199.80,3.82
200.00,3.762
200.20,3.756
200.40,3.754
200.60,3.798
200.80,3.814
201.00,3.848
201.20,3.776
201.40,3.732
201.60,3.778
201.80,3.794
202.00,3.812
202.20,3.816
202.40,3.68
202.60,3.784
202.80,3.828
203.00,3.756
203.20,3.738
203.40,3.8
203.60,3.816
203.80,3.792
204.00,3.794
204.20,3.76
204.40,3.76
204.60,3.794
204.80,3.836
205.00,3.728
205.20,3.792
205.40,3.786
205.60,3.764
205.80,3.798
206.00,3.816
206.20,3.734
206.40,3.8
206.60,3.778
206.80,3.79
207.00,3.794
207.20,3.756
207.40,3.804
207.60,3.826
207.80,3.75
208.00,3.808
208.20,3.794
208.40,3.716
208.60,3.822
208.80,3.776
209.00,3.79
209.20,3.742
209.40,3.8
209.60,3.838
209.80,3.728
210.00,3.776
210.20,3.768
210.40,3.792
210.60,3.816
210.80,3.784
211.00,3.776
211.20,3.732
211.40,3.836
211.60,3.77
211.80,3.794
212.00,3.76
212.20,3.776
212.40,3.822
212.60,3.79
212.80,3.77
213.00,3.794
213.20,3.716
213.40,3.822
213.60,3.808
213.80,3.8
214.00,3.762
214.20,3.746
214.40,3.804
214.60,3.792
214.80,3.808
215.00,3.784
215.20,3.794
215.40,3.75
215.60,3.768
215.80,3.852
216.00,3.756
216.20,3.768
216.40,3.74
216.60,3.798
216.80,3.79
217.00,3.778
217.20,3.768
217.40,3.804
217.60,3.806
217.80,3.812
218.00,3.792
218.20,3.732
218.40,3.716
218.60,3.814
218.80,3.816
219.00,3.786
219.20,3.85
219.40,3.76
219.60,3.738
219.80,3.812
220.00,3.77
220.20,3.764
220.40,3.804
220.60,3.8
220.80,3.83
221.00,3.738
221.20,3.748
221.40,3.8
221.60,3.79
221.80,3.842
222.00,3.772
222.20,3.76
222.40,3.8
222.60,3.772
222.80,3.75
223.00,3.786
223.20,3.782
223.40,3.784
223.60,3.842
223.80,3.776
224.00,3.732
224.20,3.782
224.40,3.826
224.60,3.822
224.80,3.716
225.00,3.792
225.20,3.838
225.40,3.786
225.60,3.808
225.80,3.724
226.00,3.812
226.20,3.778
226.40,3.738
226.60,3.806
226.80,3.798
227.00,3.798
227.20,3.734
227.40,3.792
227.60,3.794
227.80,3.804
228.00,3.784
228.20,3.718
228.40,3.786
228.60,3.812
228.80,3.79
229.00,3.778
229.20,3.834
229.40,3.75
229.60,3.75
229.80,3.8
230.00,3.772
230.20,3.782
230.40,3.794
230.60,3.822
230.80,3.82
231.00,3.768
231.20,3.748
231.40,3.762
231.60,3.794
231.80,3.858
232.00,3.768
232.20,3.726
232.40,3.772
232.60,3.826
232.80,3.768
233.00,3.806
233.20,3.806
233.40,3.724
233.60,3.8
233.80,3.792
234.00,3.764
234.20,3.786
234.40,3.83
234.60,3.778
234.80,3.748
235.00,3.864
235.20,3.762
235.40,3.704
235.60,3.786
235.80,3.882
236.00,3.77
236.20,3.724
236.40,3.786
236.60,3.754
236.80,3.842
237.00,3.8
237.20,3.848
237.40,3.644
237.60,3.814
237.80,3.794
238.00,3.734
238.20,3.83
238.40,3.828
238.60,3.79
238.80,3.726
239.00,3.792
239.20,3.786
239.40,3.756
239.60,3.842
239.80,3.754
240.00,3.852
240.20,3.738
240.40,3.75
240.60,3.77
240.80,3.804
241.00,3.822
241.20,3.776
241.40,3.74
241.60,3.772
241.80,3.838
242.00,3.784
242.20,3.776
242.40,3.794
242.60,3.764
242.80,3.77
243.00,3.75
243.20,3.812
243.40,3.768
243.60,3.826
243.80,3.786
244.00,3.754
244.20,3.792
244.40,3.778
244.60,3.762
244.80,3.864
245.00,3.794
245.20,3.704
245.40,3.75
245.60,3.83
245.80,3.778
246.00,3.764
246.20,3.768
246.40,3.79
246.60,3.878
246.80,3.726
247.00,3.8
247.20,3.76
247.40,3.808
247.60,3.806
247.80,3.776
248.00,3.738
248.20,3.826
248.40,3.778
248.60,3.812
248.80,3.798
249.00,3.76
249.20,3.734
249.40,3.768
249.60,3.864
249.80,3.812
250.00,3.76
250.20,3.76
250.40,3.812
250.60,3.764
250.80,3.8
251.00,3.82
251.20,3.724
251.40,3.794
251.60,3.784
251.80,3.784
252.00,3.79
252.20,3.742
252.40,3.85
252.60,3.756
252.80,3.76
253.00,3.828
253.20,3.83
253.40,3.74
253.60,3.74
253.80,3.792
254.00,3.798
254.20,3.834
254.40,3.756
254.60,3.738
254.80,3.792
255.00,3.794
255.20,3.864
255.40,3.712
255.60,3.756
255.80,3.806
256.00,3.812
256.20,3.762
256.40,3.728
256.60,3.834
256.80,3.86
257.00,3.756
257.20,3.746
257.40,3.718
257.60,3.812
257.80,3.822
258.00,3.842
258.20,3.786
258.40,3.734
258.60,3.776
258.80,3.764
259.00,3.834
259.20,3.79
259.40,3.768
259.60,3.756
259.80,3.786
260.00,3.77
260.20,3.806
260.40,3.822
260.60,3.792
260.80,3.724
261.00,3.776
261.20,3.85
261.40,3.79
261.60,3.772
261.80,3.746
262.00,3.814
262.20,3.79
262.40,3.756
262.60,3.83
262.80,3.8
263.00,3.776
263.20,3.77
263.40,3.756
263.60,3.808
263.80,3.772
264.00,3.746
264.20,3.822
264.40,3.784
264.60,3.792
264.80,3.782
265.00,3.778
265.20,3.776
265.40,3.778
265.60,3.806
265.80,3.8
266.00,3.742
266.20,3.808
266.40,3.756
266.60,3.83
266.80,3.8
267.00,3.696
267.20,3.794
267.40,3.82
267.60,3.728
267.80,3.828
268.00,3.792
268.20,3.77
268.40,3.784
268.60,3.742
268.80,3.776
269.00,3.852
269.20,3.804
269.40,3.792
269.60,3.726
269.80,3.742
270.00,3.836
270.20,3.828
270.40,3.804
270.60,3.756
270.80,3.738
271.00,3.798
271.20,3.762
271.40,3.792
271.60,3.756
271.80,3.8
272.00,3.858
272.20,3.746
272.40,3.684
272.60,3.864
272.80,3.872
273.00,3.732
273.20,3.786
273.40,3.76
273.60,3.792
273.80,3.764
274.00,3.778
274.20,3.77
274.40,3.776
274.60,3.85
274.80,3.79
275.00,3.756
275.20,3.764
275.40,3.804
275.60,3.792
275.80,3.768
276.00,3.798
276.20,3.79
276.40,3.792
276.60,3.806
276.80,3.732
277.00,3.794
277.20,3.784
277.40,3.794
277.60,3.724
277.80,3.838
278.00,3.806
278.20,3.726
278.40,3.816
278.60,3.784
278.80,3.782
279.00,3.806
279.20,3.782
279.40,3.738
279.60,3.812
279.80,3.76
280.00,3.806
280.20,3.772
280.40,3.808
280.60,3.814
280.80,3.77
281.00,3.748
281.20,3.85
281.40,3.776
281.60,3.768
281.80,3.706
282.00,3.816
282.20,3.82
282.40,3.806
282.60,3.75
282.80,3.794
283.00,3.814
283.20,3.762
283.40,3.8
283.60,3.778
283.80,3.808
284.00,3.784
284.20,3.756
284.40,3.814
284.60,3.782
284.80,3.754
285.00,3.768
285.20,3.792
285.40,3.834
285.60,3.746
285.80,3.842
286.00,3.754
286.20,3.746
286.40,3.804
286.60,3.772
286.80,3.772
287.00,3.804
287.20,3.816
287.40,3.712
287.60,3.794
287.80,3.822
288.00,3.812
288.20,3.778
288.40,3.786
288.60,3.776
288.80,3.754
289.00,3.76
289.20,3.804
289.40,3.86
289.60,3.782
289.80,3.728
290.00,3.764
290.20,3.782
290.40,3.786
290.60,3.838
290.80,3.77
291.20,3.792
291.40,3.78
291.60,3.758
291.80,3.742
292.00,3.824
292.20,3.83
292.40,3.756
292.60,3.78
292.80,3.762
293.00,3.784
293.20,3.77
293.40,3.776
293.60,3.794
293.80,3.77
294.00,3.792
294.20,3.78
294.40,3.776
294.60,3.798
294.80,3.744
295.00,3.872
295.20,3.756
295.40,3.778
295.60,3.742
295.80,3.778
296.00,3.854
296.20,3.74
296.40,3.758
296.60,3.81
296.80,3.718
297.00,3.88
297.20,3.792
