Time (ms),Main Avg Current (mA)
0.00,3.886
0.20,3.834
0.40,3.862
0.60,3.916
0.80,3.886
1.00,3.832
1.20,3.868
1.40,3.894
1.60,3.898
1.80,3.798
2.00,3.886
2.20,3.882
2.40,3.846
2.60,3.856
2.80,3.868
3.00,3.922
3.20,3.898
3.40,3.83
3.60,3.798
3.80,3.87
4.00,3.856
4.20,3.892
4.40,3.906
4.60,3.834
4.80,3.868
5.00,3.856
5.20,3.868
5.40,3.776
5.60,3.832
5.80,3.898
6.00,3.9
6.20,3.84
6.40,3.86
6.60,3.854
6.80,3.824
7.00,3.834
7.20,3.886
7.40,3.862
7.60,3.868
7.80,3.808
8.00,3.834
8.20,3.878
8.40,3.83
8.60,3.878
8.80,3.842
9.00,3.79
9.20,3.826
9.40,3.926
9.60,3.838
9.80,3.872
10.00,3.82
10.20,3.89
10.40,3.824
10.60,3.786
10.80,3.85
11.00,3.842
11.20,3.898
11.40,3.84
11.60,3.84
11.80,3.842
12.00,3.884
12.20,3.89
12.40,3.838
12.60,3.846
12.80,3.868
13.00,3.85
13.20,3.864
13.40,3.864
13.60,3.86
13.80,3.846
14.00,3.884
14.20,3.802
14.40,3.846
14.60,3.89
14.80,3.862
15.00,3.906
15.20,3.802
15.40,3.894
15.60,3.832
15.80,3.912
16.00,3.876
16.20,3.914
16.40,3.824
16.60,3.846
16.80,3.904
17.00,3.922
17.20,3.84
17.40,3.894
17.60,3.862
17.80,3.864
18.00,3.854
18.20,3.878
18.40,3.908
18.60,3.846
18.80,3.812
19.00,3.89
19.20,3.884
19.40,3.89
19.60,3.938
19.80,3.842
20.00,3.766
20.20,3.886
20.40,3.938
20.60,3.864
20.80,3.838
21.00,3.862
21.20,3.884
21.40,3.788
21.60,3.848
21.80,3.886
22.00,3.9
22.20,3.886
22.40,3.804
22.60,3.802
22.80,3.872
23.00,3.9
23.20,3.842
23.40,3.842
23.60,3.84
23.80,3.878
24.00,3.878
24.20,3.846
24.40,3.872
24.60,3.774
24.80,3.842
25.00,3.83
25.20,3.876
25.40,3.84
25.60,3.848
25.80,3.856
26.00,3.834
26.20,3.802
26.40,3.856
26.60,3.886
26.80,3.864
27.00,3.83
27.20,3.76
27.40,3.882
27.60,3.9
27.80,3.882
28.00,3.764
28.20,3.826
28.40,3.862
28.60,3.862
28.80,3.864
29.00,3.872
29.20,3.816
29.40,3.906
29.60,3.832
29.80,3.832
30.00,3.886
30.20,3.86
30.40,3.826
30.60,3.882
30.80,3.878
31.00,3.882
31.20,3.85
31.40,3.838
31.60,3.834
31.80,3.928
32.00,3.86
32.20,3.868
32.40,3.878
32.60,3.862
32.80,3.824
33.00,3.82
33.20,3.906
33.40,3.936
33.60,3.876
33.80,3.856
34.00,3.892
34.20,3.848
34.40,3.89
34.60,3.85
34.80,3.9
35.00,3.882
35.20,3.872
35.40,3.86
35.60,3.84
35.80,3.904
36.00,3.85
36.20,3.848
36.40,3.926
36.60,3.872
36.80,3.86
37.00,3.834
37.20,3.856
37.40,3.796
37.60,3.876
37.80,3.872
38.00,3.928
38.20,3.882
38.40,3.82
38.60,3.824
38.80,3.856
39.00,3.84
39.20,3.904
39.40,3.802
39.60,3.914
39.80,3.834
40.00,3.86
40.20,3.848
40.40,3.838
40.60,3.84
40.80,3.864
41.00,3.826
41.20,3.872
41.40,3.886
41.60,3.808
41.80,3.808
42.00,3.886
42.20,3.826
42.40,3.856
42.60,3.894
42.80,3.824
43.00,3.85
43.20,3.85
43.40,3.832
43.60,3.86
43.80,3.83
44.00,3.894
44.20,3.846
44.40,3.848
44.60,3.9
44.80,3.83
45.00,3.772
45.20,3.872
45.40,3.876
45.60,3.882
45.80,3.832
46.00,3.832
46.20,3.886
46.40,3.798
46.60,3.84
46.80,3.884
47.00,3.9
47.20,3.856
47.40,3.872
47.60,3.848
47.80,3.864
48.00,3.862
48.20,3.882
48.40,3.894
48.60,3.862
48.80,3.834
49.00,3.81
49.20,3.878
49.40,3.922
49.60,3.898
49.80,3.876
50.00,3.872
50.20,3.872
50.40,3.846
50.60,3.87
50.80,3.908
51.00,3.882
51.20,3.884
51.40,3.884
51.60,3.854
51.80,3.864
52.00,3.892
52.20,3.864
52.40,3.842
52.60,3.898
52.80,3.906
53.00,3.848
53.20,3.848
53.40,3.85
53.60,3.894
53.80,3.884
54.00,3.914
54.20,3.818
54.40,3.886
54.60,3.856
54.80,3.824
55.00,3.848
55.20,3.86
55.40,3.882
55.60,3.864
55.80,3.856
56.00,3.87
56.20,3.81
56.40,3.856
56.60,3.914
56.80,3.824
57.00,3.818
57.20,3.916
57.40,3.798
57.60,3.856
57.80,3.84
58.00,3.834
58.20,3.89
58.40,3.832
58.60,3.808
58.80,3.882
59.00,3.86
59.20,3.81
59.40,3.838
59.60,3.862
59.80,3.856
60.00,3.848
60.20,3.842
60.40,3.848
60.60,3.84
60.80,3.862
61.00,3.856
61.20,3.796
61.40,3.884
61.60,3.838
61.80,3.886
62.00,3.862
62.20,3.786
62.40,3.834
62.60,3.894
62.80,3.892
63.00,3.86
63.20,3.808
63.40,3.862
63.60,3.868
63.80,3.856
64.00,3.85
64.20,3.842
64.40,3.894
64.60,3.842
64.80,3.878
65.00,3.884
65.20,3.95
65.40,3.89
65.60,3.788
65.80,3.878
66.00,3.908
66.20,3.882
66.40,3.854
66.60,3.832
66.80,3.872
67.00,3.966
67.20,3.892
67.40,3.846
67.60,3.848
67.80,3.908
68.00,3.86
68.20,3.82
68.40,3.882
68.60,3.89
68.80,3.834
69.00,3.926
69.20,3.922
69.40,3.838
69.60,3.848
69.80,3.84
70.00,3.886
70.20,3.894
70.40,3.848
70.60,3.826
70.80,3.892
71.00,3.908
71.20,3.834
71.40,3.862
71.60,3.878
71.80,3.856
72.00,3.812
72.20,3.812
72.40,3.824
72.60,3.912
72.80,3.886
73.00,3.898
73.20,3.818
73.40,3.812
73.60,3.862
73.80,3.848
74.00,3.812
74.20,3.854
74.40,3.862
74.60,3.816
74.80,3.878
75.00,3.862
75.20,3.878
75.40,3.766
75.60,3.818
75.80,3.916
76.00,3.842
76.20,3.864
76.40,3.79
76.60,3.834
76.80,3.862
77.00,3.9
77.20,3.864
77.40,3.804
77.60,3.862
77.80,3.842
78.00,3.798
78.20,3.892
78.40,3.862
78.60,3.868
78.80,3.898
79.00,3.818
79.20,3.802
79.40,3.83
79.60,3.944
79.80,3.812
80.00,3.832
80.20,3.848
80.40,3.884
80.60,3.89
80.80,3.92
81.00,3.86
81.20,3.816
81.40,3.862
81.60,3.886
81.80,3.886
82.00,3.898
82.20,3.842
82.40,3.846
82.60,3.948
82.80,3.89
83.00,3.774
83.20,3.834
83.40,3.9
83.60,3.908
83.80,3.876
84.00,3.92
84.20,3.89
84.40,3.892
84.60,3.786
84.80,3.882
85.00,3.884
85.20,3.89
85.40,3.894
85.60,3.892
85.80,3.842
86.00,3.876
86.20,3.862
86.40,3.882
86.60,3.81
86.80,3.872
87.00,3.914
87.20,3.856
87.40,3.842
87.60,3.862
87.80,3.914
88.00,3.81
88.20,3.856
88.40,3.882
88.60,3.87
88.80,3.864
89.00,3.894
89.20,3.834
89.40,3.808
89.60,3.834
89.80,3.862
90.00,3.878
90.20,3.862
90.40,3.816
90.60,3.9
90.80,3.85
91.00,3.798
91.20,3.856
91.40,3.832
91.60,3.872
91.80,3.83
92.00,3.862
92.20,3.864
92.40,3.85
92.60,3.794
92.80,3.906
93.00,3.818
93.20,3.894
93.40,3.87
93.60,3.838
93.80,3.818
94.00,3.84
94.20,3.87
94.40,3.834
94.60,3.826
94.80,3.872
95.00,3.864
95.20,3.802
95.40,3.89
95.60,3.928
95.80,3.856
96.00,3.774
96.20,3.892
96.40,3.834
96.60,3.832
96.80,3.9
97.00,3.862
97.20,3.87
97.40,3.84
97.60,3.87
97.80,3.868
98.00,3.884
98.20,3.9
98.40,3.864
98.60,3.804
98.80,3.882
99.00,3.93
99.20,3.838
99.40,3.838
99.60,3.916
99.80,3.922
100.00,3.87
100.20,3.872
100.40,3.9
100.60,3.854
100.80,3.86
101.00,3.904
101.20,3.876
101.40,3.86
101.60,3.908
101.80,3.884
102.00,3.882
102.20,3.908
102.40,3.872
102.60,3.816
102.80,3.862
103.00,3.862
103.20,3.922
103.40,3.898
103.60,3.894
103.80,3.758
104.00,3.846
104.20,3.914
104.40,3.928
104.60,3.864
104.80,3.832
105.00,3.854
105.20,3.832
105.40,3.838
105.60,3.93
105.80,3.848
106.00,3.848
106.20,3.86
106.40,3.848
106.60,3.846
106.80,3.848
107.00,3.842
107.20,3.862
107.40,3.774
107.60,3.85
107.80,3.86
108.00,3.89
108.20,3.872
108.40,3.854
108.60,3.838
108.80,3.872
109.00,3.842
109.20,3.82
109.40,3.804
109.60,3.884
109.80,3.826
110.00,3.89
110.20,3.838
110.40,3.846
110.60,3.842
110.80,3.864
111.00,3.856
111.20,3.92
111.40,3.758
111.60,3.846
111.80,3.848
112.00,3.864
112.20,3.878
112.40,3.818
112.60,3.86
112.80,3.93
113.00,3.83
113.20,3.802
113.40,3.868
113.60,3.878
113.80,3.856
114.00,3.872
114.20,3.872
114.40,3.848
114.60,3.85
114.80,3.87
115.00,3.978
115.20,3.834
115.40,3.846
115.60,3.81
115.80,3.908
116.00,3.898
116.20,3.912
116.40,3.854
116.60,3.868
116.80,3.882
117.00,3.854
117.20,3.894
117.40,3.89
117.60,3.856
117.80,3.93
118.00,3.872
118.20,3.84
118.40,3.916
118.60,3.868
118.80,3.872
119.00,3.85
119.20,3.864
119.40,3.936
119.60,3.834
119.80,3.904
120.00,3.856
120.20,3.882
120.40,3.842
120.60,3.886
120.80,3.882
121.00,3.848
121.20,3.878
121.40,3.846
121.60,3.842
121.80,3.868
122.00,3.864
122.20,3.884
122.40,3.85
122.60,3.856
122.80,3.856
123.00,3.856
123.20,3.86
123.40,3.824
123.60,3.862
123.80,3.824
124.00,3.83
124.20,3.846
124.40,3.856
124.60,3.85
124.80,3.87
125.00,3.87
125.20,3.85
125.40,3.824
125.60,3.85
125.80,3.848
126.00,3.838
126.20,3.86
126.40,3.808
126.60,3.854
126.80,3.876
127.00,3.912
127.20,3.826
127.40,3.864
127.60,3.808
127.80,3.878
128.00,3.87
128.20,3.804
128.40,3.85
128.60,3.86
128.80,3.842
129.00,3.868
129.20,3.922
129.40,3.796
129.60,3.862
129.80,3.768
130.00,3.936
130.20,3.872
130.40,3.864
130.60,3.83
130.80,3.882
131.00,3.904
131.20,3.862
131.40,3.89
131.60,3.824
131.80,3.882
132.00,3.838
132.20,3.878
132.40,3.93
132.60,3.922
132.80,3.848
133.00,3.856
133.20,3.864
133.40,3.886
133.60,3.872
133.80,3.906
134.00,3.882
134.20,3.864
134.40,3.84
134.60,3.956
134.80,3.908
135.00,3.808
135.20,3.812
135.40,3.952
135.60,3.956
135.80,3.884
136.00,3.86
136.20,3.84
136.40,3.846
136.60,3.86
136.80,3.906
137.00,3.846
137.20,3.846
137.40,3.912
137.60,3.876
137.80,3.862
138.00,3.868
138.20,3.846
138.40,3.872
138.60,3.812
138.80,3.908
139.00,3.892
139.20,3.808
139.40,3.802
139.60,3.9
139.80,3.884
140.00,3.84
140.20,3.87
140.40,3.832
140.60,3.864
140.80,3.802
141.00,3.892
141.20,3.882
141.40,3.798
141.60,3.846
141.80,3.864
142.00,3.862
142.20,3.832
142.40,3.898
142.60,3.772
142.80,3.846
143.00,3.854
143.20,3.868
143.40,3.892
143.60,3.824
143.80,3.854
144.00,3.84
144.20,3.842
144.40,3.84
144.60,3.838
144.80,3.876
145.00,3.878
145.20,3.856
145.40,3.816
145.60,3.83
145.80,3.916
146.00,3.898
146.20,3.838
146.40,3.788
146.60,3.876
146.80,3.904
147.00,3.83
147.20,3.9
147.40,3.846
147.60,3.904
147.80,3.86
148.00,3.834
148.20,3.86
148.40,3.864
148.60,3.886
148.80,3.928
149.00,3.86
149.20,3.892
149.40,3.85
149.60,3.87
149.80,3.872
150.00,3.882
150.20,3.936
150.40,3.942
150.60,3.818
150.80,3.864
151.00,3.914
151.20,3.846
151.40,3.898
151.60,3.878
151.80,3.892
152.00,3.942
152.20,3.854
152.40,3.81
152.60,3.906
152.80,3.886
153.00,3.882
153.20,3.868
153.40,3.93
153.60,3.824
153.80,3.884
154.00,3.812
154.20,3.862
154.40,3.89
154.60,3.908
154.80,3.798
155.00,3.878
155.20,3.882
155.40,3.862
155.60,3.78
155.80,3.884
156.00,3.938
156.20,3.842
156.40,3.868
156.60,3.84
156.80,3.81
157.00,3.862
157.20,3.838
157.40,3.872
157.60,3.84
157.80,3.832
158.00,3.862
158.20,3.842
158.40,3.854
158.60,3.834
158.80,3.85
159.00,3.83
159.20,3.85
159.40,3.838
159.60,3.802
159.80,3.878
160.00,3.846
160.20,3.892
160.40,3.872
160.60,3.816
160.80,3.854
161.00,3.912
161.20,3.76
161.40,3.808
161.60,3.878
161.80,3.89
162.00,3.842
162.20,3.884
162.40,3.816
162.60,3.876
162.80,3.838
163.00,3.854
163.20,3.89
163.40,3.83
163.60,3.834
163.80,3.9
164.00,3.894
164.20,3.862
164.40,3.834
164.60,3.89
164.80,3.936
165.00,3.856
165.20,3.93
165.40,3.786
165.60,3.914
165.80,3.862
166.00,3.862
166.20,3.922
166.40,3.864
166.60,3.912
166.80,3.9
167.00,3.882
167.20,3.87
167.40,3.876
167.60,3.872
167.80,3.926
168.00,3.89
168.20,3.87
168.40,3.934
168.60,3.804
168.80,3.886
169.00,3.898
169.20,3.862
169.40,3.92
169.60,3.864
169.80,3.864
170.00,3.818
170.20,3.868
170.40,3.944
170.60,3.862
170.80,3.878
171.00,3.878
171.20,3.84
171.40,3.842
171.60,3.856
171.80,3.878
172.00,3.936
172.20,3.846
172.40,3.818
172.60,3.872
172.80,3.876
173.00,3.864
173.20,3.772
173.40,3.87
173.60,3.898
173.80,3.826
174.00,3.86
174.20,3.834
174.40,3.884
174.60,3.854
174.80,3.876
175.00,3.786
175.20,3.798
175.40,3.876
175.60,3.922
175.80,3.87
176.00,3.776
176.20,3.85
176.40,3.834
176.60,3.856
176.80,3.886
177.00,3.84
177.20,3.892
177.40,3.81
177.60,3.834
177.80,3.85
178.00,3.89
178.20,3.816
178.40,3.872
178.60,3.854
178.80,3.862
179.00,3.85
179.20,3.864
179.40,3.854
179.60,3.834
179.80,3.876
180.00,3.882
180.20,3.832
180.40,3.846
180.60,3.908
180.80,3.856
181.00,3.892
181.20,3.878
181.40,3.826
181.60,3.89
181.80,3.872
182.00,3.842
182.20,3.908
182.40,3.916
182.60,3.85
182.80,3.912
183.00,3.812
183.20,3.956
183.40,3.86
183.60,3.912
183.80,3.89
184.00,3.87
184.20,3.862
184.40,3.95
184.60,3.878
184.80,3.856
185.00,3.892
185.20,3.912
185.40,3.904
185.60,3.906
185.80,3.838
186.00,3.926
186.20,3.886
186.40,3.876
186.60,3.838
186.80,3.87
187.00,3.86
187.20,3.884
187.40,3.87
187.60,3.85
187.80,3.904
188.00,3.89
188.20,3.864
188.40,3.892
188.60,3.842
188.80,3.856
189.00,3.848
189.20,3.812
189.40,3.928
189.60,3.898
189.80,3.84
190.00,3.788
190.20,3.86
190.40,3.86
190.60,3.876
190.80,3.838
191.00,3.83
191.20,3.85
191.40,3.848
191.60,3.872
191.80,3.854
192.00,3.82
192.20,3.864
192.40,3.824
192.60,3.9
192.80,3.87
193.00,3.808
193.20,3.834
193.40,3.868
193.60,3.816
193.80,3.876
194.00,3.854
194.20,3.862
194.40,3.876
194.60,3.84
194.80,3.842
195.00,3.81
195.20,3.818
195.40,3.892
195.60,3.926
195.80,3.854
196.00,3.84
196.20,3.794
196.40,3.884
196.60,3.904
196.80,3.876
197.00,3.826
197.20,3.912
197.40,3.85
197.60,3.9
197.80,3.846
198.00,3.842
198.20,3.884
198.40,3.884
198.60,3.884
198.80,3.916
199.00,3.864
199.20,3.864
199.40,3.92
199.60,3.89
199.80,3.87
200.00,3.87
200.20,3.906
200.40,3.898
200.60,3.964
200.80,3.842
201.00,3.878
201.20,3.928
201.40,3.87
201.60,3.872
201.80,3.912
202.00,3.87
202.20,3.9
202.40,3.882
202.60,3.894
202.80,3.85
203.00,3.884
203.20,3.92
203.40,3.878
203.60,3.838
203.80,3.856
204.00,3.84
204.20,3.89
204.40,3.908
204.60,3.884
204.80,3.808
205.00,3.846
205.20,3.884
205.40,3.862
205.60,3.894
205.80,3.86
206.00,3.848
206.20,3.882
206.40,3.818
206.60,3.84
206.80,3.912
207.00,3.832
207.20,3.824
207.40,3.856
207.60,3.846
207.80,3.818
208.00,3.854
208.20,3.89
208.40,3.872
208.60,3.842
208.80,3.798
209.00,3.84
209.20,3.85
209.40,3.85
209.60,3.878
209.80,3.81
210.00,3.842
210.20,3.83
210.40,3.826
210.60,3.872
210.80,3.846
211.00,3.89
211.20,3.868
211.40,3.86
211.60,3.864
211.80,3.86
212.00,3.86
212.20,3.818
212.40,3.862
212.60,3.846
212.80,3.864
213.00,3.848
213.20,3.846
213.40,3.872
213.60,3.864
213.80,3.878
214.00,3.846
214.20,3.878
214.40,3.862
214.60,3.898
214.80,3.878
215.00,3.886
215.20,3.85
215.40,3.926
215.60,3.872
215.80,3.884
216.00,3.872
216.20,3.884
216.40,3.898
216.60,3.95
216.80,3.842
217.00,3.898
217.20,3.912
217.40,3.93
217.60,3.87
217.80,3.85
218.00,3.878
218.20,3.92
218.40,3.926
218.60,3.928
218.80,3.868
219.00,3.848
219.20,3.944
219.40,3.872
219.60,3.914
219.80,3.816
220.00,3.886
220.20,3.846
220.40,3.938
220.60,3.85
220.80,3.892
221.00,3.87
221.20,3.846
221.40,3.884
221.60,3.848
221.80,3.892
222.00,3.892
222.20,3.824
222.40,3.838
222.60,3.86
222.80,3.862
223.00,3.892
223.20,3.838
223.40,3.808
223.60,3.908
223.80,3.892
224.00,3.824
224.20,3.872
224.40,3.82
224.60,3.812
224.80,3.872
225.00,3.82
225.20,3.872
225.40,3.864
225.60,3.838
225.80,3.812
226.00,3.834
226.20,3.894
226.40,3.842
226.60,3.85
226.80,3.838
227.00,3.842
227.20,3.82
227.40,3.9
227.60,3.838
227.80,3.862
228.00,3.838
228.20,3.876
228.40,3.898
228.60,3.838
228.80,3.82
229.00,3.882
229.20,3.878
229.40,3.812
229.60,3.834
229.80,3.882
230.00,3.912
230.20,3.83
230.40,3.842
230.60,3.906
230.80,3.804
231.00,3.916
231.20,3.89
231.40,3.81
231.60,3.916
231.80,3.898
232.00,3.956
232.20,3.892
232.40,3.758
232.60,3.916
232.80,3.904
233.00,3.95
233.20,3.892
233.40,3.912
233.60,3.908
233.80,3.87
234.00,3.936
234.20,3.922
234.40,3.87
234.60,3.886
234.80,3.884
235.00,3.898
235.20,3.926
235.40,3.908
235.60,3.864
235.80,3.9
236.00,3.884
236.20,3.872
236.40,3.862
236.60,3.914
236.80,3.912
237.00,3.862
237.20,3.92
237.40,3.862
237.60,3.854
237.80,3.804
238.00,3.922
238.20,3.95
238.40,3.824
238.60,3.754
238.80,3.89
239.00,3.882
239.20,3.92
239.40,3.838
239.60,3.848
239.80,3.832
240.00,3.914
240.20,3.876
240.40,3.81
240.60,3.818
240.80,3.856
241.00,3.84
241.20,3.862
241.40,3.864
241.60,3.854
241.80,3.794
242.00,3.856
242.20,3.878
242.40,3.834
242.60,3.868
242.80,3.82
243.00,3.878
243.20,3.89
243.40,3.816
243.60,3.83
243.80,3.808
244.00,3.868
244.20,3.934
244.40,3.842
244.60,3.834
244.80,3.846
245.00,3.834
245.20,3.81
245.40,3.876
245.60,3.83
245.80,3.882
246.00,3.92
246.20,3.85
246.40,3.85
246.60,3.846
246.80,3.872
247.00,3.81
247.20,3.892
247.40,3.856
247.60,3.934
247.80,3.854
248.00,3.854
248.20,3.856
248.40,3.892
248.60,3.87
248.80,3.878
249.00,3.96
249.20,3.89
249.40,3.89
249.60,3.904
249.80,3.87
250.00,3.922
250.20,3.916
250.40,3.898
250.60,3.922
250.80,3.942
251.00,3.908
251.20,3.916
251.40,3.862
251.60,3.878
251.80,3.904
252.00,3.914
252.20,3.916
252.40,3.93
252.60,3.912
252.80,3.856
253.00,3.84
253.20,3.912
253.40,3.848
253.60,3.912
253.80,3.892
254.00,3.884
254.20,3.864
254.40,3.854
254.60,3.85
