Time (ms),Main Avg Current (mA)
0.00,4.592
0.20,4.568
0.40,4.48
0.60,4.502
0.80,4.518
1.00,4.47
1.20,4.51
1.40,4.536
1.60,4.566
1.80,4.504
2.00,4.538
2.20,4.522
2.40,4.464
2.60,4.526
2.80,4.522
3.00,4.54
3.20,4.59
3.40,4.42
3.60,4.538
3.80,4.466
4.00,4.546
4.20,4.552
4.40,4.54
4.60,4.518
4.80,4.514
5.00,4.45
5.20,4.532
5.40,4.538
5.60,4.514
5.80,4.492
6.00,4.5
6.20,4.56
6.40,4.51
6.60,4.544
6.80,4.48
7.00,4.522
7.20,4.5
7.40,4.554
7.60,4.494
7.80,4.536
8.00,4.514
8.20,4.472
8.40,4.504
8.60,4.536
8.80,4.478
9.00,4.54
9.20,4.46
9.40,4.474
9.60,4.558
9.80,4.546
10.00,4.524
10.20,4.504
10.40,4.508
10.60,4.532
10.80,4.51
11.00,4.514
11.20,4.504
11.40,4.518
11.60,4.548
11.80,4.518
12.00,4.532
12.20,4.526
12.40,4.532
12.60,4.456
12.80,4.504
13.00,4.532
13.20,4.508
13.40,4.566
13.60,4.568
13.80,4.472
14.00,4.522
14.20,4.536
14.40,4.522
14.60,4.522
14.80,4.516
15.00,4.51
15.20,4.522
15.40,4.526
15.60,4.514
15.80,4.466
16.00,4.576
16.20,4.514
16.40,4.536
16.60,4.5
16.80,4.544
17.00,4.526
17.20,4.502
17.40,4.518
17.60,4.558
17.80,4.558
18.00,4.492
18.20,4.474
18.40,4.524
18.60,4.502
18.80,4.47
19.00,4.56
19.20,4.602
19.40,4.508
19.60,4.548
19.80,4.464
20.00,4.494
20.20,4.548
20.40,4.502
20.60,4.514
20.80,4.51
21.00,4.524
21.20,4.606
21.40,4.426
21.60,4.508
21.80,4.538
22.00,4.532
22.20,4.46
22.40,4.508
22.60,4.548
22.80,4.544
23.00,4.514
23.20,4.532
23.40,4.48
23.60,4.53
23.80,4.53
24.00,4.522
24.20,4.5
24.40,4.45
24.60,4.524
24.80,4.524
25.00,4.548
25.20,4.53
25.40,4.472
25.60,4.496
25.80,4.57
26.00,4.516
26.20,4.54
26.40,4.526
26.60,4.504
26.80,4.502
27.00,4.504
27.20,4.504
27.40,4.458
27.60,4.538
27.80,4.516
28.00,4.522
28.20,4.526
28.40,4.596
28.60,4.5
28.80,4.536
29.00,4.494
29.20,4.582
29.40,4.466
29.60,4.588
29.80,4.5
30.00,4.504
30.20,4.482
30.40,4.516
30.60,4.482
30.80,4.554
31.00,4.514
31.20,4.486
31.40,4.494
31.60,4.544
31.80,4.538
32.00,4.5
32.20,4.552
32.40,4.488
32.60,4.566
32.80,4.544
33.00,4.45
33.20,4.422
33.40,4.548
33.60,4.544
33.80,4.56
34.00,4.536
34.20,4.482
34.40,4.488
34.60,4.532
34.80,4.51
35.00,4.54
35.20,4.544
35.40,4.514
35.60,4.532
35.80,4.544
36.00,4.474
36.20,4.482
36.40,4.56
36.60,4.5
36.80,4.5
37.00,4.508
37.20,4.474
37.40,4.57
37.60,4.514
37.80,4.54
38.00,4.514
38.20,4.502
38.40,4.51
38.60,4.486
38.80,4.562
39.00,4.544
39.20,4.596
39.40,4.46
39.60,4.48
39.80,4.47
40.00,4.502
40.20,4.554
40.40,4.596
40.60,4.544
40.80,4.492
41.00,4.46
41.20,4.488
41.40,4.482
41.60,4.488
41.80,4.536
42.00,4.602
42.20,4.554
42.40,4.526
42.60,4.554
42.80,4.502
43.00,4.47
43.20,4.514
43.40,4.51
43.60,4.526
43.80,4.508
44.00,4.522
44.20,4.486
44.40,4.514
44.60,4.544
44.80,4.516
45.00,4.532
45.20,4.522
45.40,4.48
45.60,4.526
45.80,4.568
46.00,4.548
46.20,4.448
46.40,4.562
46.60,4.488
46.80,4.514
47.00,4.502
47.20,4.502
47.40,4.54
47.60,4.576
47.80,4.472
48.00,4.524
48.20,4.53
48.40,4.544
48.60,4.45
48.80,4.524
49.00,4.568
49.20,4.496
49.40,4.488
49.60,4.544
49.80,4.536
50.00,4.548
50.20,4.494
50.40,4.48
50.60,4.518
50.80,4.494
51.00,4.538
51.20,4.552
51.40,4.516
51.60,4.516
51.80,4.524
52.00,4.488
52.20,4.53
52.40,4.592
52.60,4.538
52.80,4.412
53.00,4.514
53.20,4.492
53.40,4.474
53.60,4.54
53.80,4.518
54.00,4.574
54.20,4.56
54.40,4.458
54.60,4.552
54.80,4.51
55.00,4.504
55.20,4.504
55.40,4.524
55.60,4.51
55.80,4.56
56.00,4.548
56.20,4.47
56.40,4.494
56.60,4.524
56.80,4.538
57.00,4.504
57.20,4.59
57.40,4.45
57.60,4.448
57.80,4.548
58.00,4.5
58.20,4.552
58.40,4.536
58.60,4.566
58.80,4.518
59.00,4.474
59.20,4.504
59.40,4.538
59.60,4.536
59.80,4.51
60.00,4.516
60.20,4.494
60.40,4.526
60.60,4.516
60.80,4.514
61.00,4.548
61.20,4.492
61.40,4.524
61.60,4.532
61.80,4.516
62.00,4.554
62.20,4.502
62.40,4.482
62.60,4.532
62.80,4.482
63.00,4.532
63.20,4.466
63.40,4.582
63.60,4.514
63.80,4.48
64.00,4.504
64.20,4.562
64.40,4.518
64.60,4.488
64.80,4.478
65.00,4.494
65.20,4.532
65.40,4.596
65.60,4.548
65.80,4.482
66.00,4.442
66.20,4.51
66.40,4.538
66.60,4.588
66.80,4.522
67.00,4.502
67.20,4.508
67.40,4.458
67.60,4.53
67.80,4.562
68.00,4.554
68.20,4.584
68.40,4.504
68.60,4.464
68.80,4.552
69.00,4.5
69.20,4.504
69.40,4.508
69.60,4.51
69.80,4.524
70.00,4.554
70.20,4.508
70.40,4.478
70.60,4.464
70.80,4.546
71.00,4.51
71.20,4.504
71.40,4.516
71.60,4.544
