Time (ms),Main Avg Current (mA)
0.00,5.796
0.20,5.776
0.40,5.854
0.60,5.852
0.80,5.752
1.00,5.81
1.20,5.84
1.40,5.832
1.60,5.852
1.80,5.776
2.00,5.848
2.20,5.804
2.40,5.846
2.60,5.808
2.80,5.782
3.00,5.84
3.20,5.918
3.40,5.744
3.60,5.812
3.80,5.804
4.00,5.838
4.20,5.856
4.40,5.81
4.60,5.826
4.80,5.856
5.00,5.796
5.20,5.798
5.40,5.842
5.60,5.804
5.80,5.848
6.00,5.818
6.20,5.808
6.40,5.786
6.60,5.864
6.80,5.846
7.00,5.842
7.20,5.776
7.40,5.852
7.60,5.808
7.80,5.816
8.00,5.84
8.20,5.86
8.40,5.83
8.60,5.816
8.80,5.808
9.00,5.82
9.20,5.816
9.40,5.838
9.60,5.834
9.80,5.846
10.00,5.808
10.20,5.826
10.40,5.802
10.60,5.84
10.80,5.846
11.00,5.776
11.20,5.79
11.40,5.826
11.60,5.854
11.80,5.788
12.00,5.802
12.20,5.864
12.40,5.804
12.60,5.83
12.80,5.846
13.00,5.796
13.20,5.84
13.40,5.824
13.60,5.83
13.80,5.802
14.00,5.854
14.20,5.818
14.40,5.854
14.60,5.764
14.80,5.83
15.00,5.856
15.20,5.75
15.40,5.864
15.60,5.818
15.80,5.824
16.00,5.812
16.20,5.838
16.40,5.824
16.60,5.84
16.80,5.87
17.00,5.824
17.20,5.816
17.40,5.81
17.60,5.824
17.80,5.826
18.00,5.81
18.20,5.798
18.40,5.838
18.60,5.804
18.80,5.832
19.00,5.824
19.20,5.812
19.40,5.83
19.60,5.826
19.80,5.82
20.00,5.818
20.20,5.832
20.40,5.83
20.60,5.79
20.80,5.824
21.00,5.816
21.20,5.92
21.40,5.776
21.60,5.802
21.80,5.852
22.00,5.812
22.20,5.838
22.40,5.816
22.60,5.808
22.80,5.812
23.00,5.824
23.20,5.826
23.40,5.868
23.60,5.804
23.80,5.798
24.00,5.824
24.20,5.846
24.40,5.838
24.60,5.852
24.80,5.808
25.00,5.864
25.20,5.796
25.40,5.838
25.60,5.794
25.80,5.81
26.00,5.818
26.20,5.786
26.40,5.816
26.60,5.796
26.80,5.846
27.00,5.788
27.20,5.936
27.40,5.788
27.60,5.804
27.80,5.838
28.00,5.84
28.20,5.78
28.40,5.84
28.60,5.832
28.80,5.766
29.00,5.834
29.20,5.812
29.40,5.838
29.60,5.812
29.80,5.84
30.00,5.796
30.20,5.856
30.40,5.832
30.60,5.816
30.80,5.842
31.00,5.826
31.20,5.804
31.40,5.81
31.60,5.834
31.80,5.842
32.00,5.776
32.20,5.846
32.40,5.832
32.60,5.826
32.80,5.854
33.00,5.824
33.20,5.776
33.40,5.838
33.60,5.826
33.80,5.84
34.00,5.776
34.20,5.81
34.40,5.826
34.60,5.86
34.80,5.79
35.00,5.81
35.20,5.838
35.40,5.796
35.60,5.818
35.80,5.79
36.00,5.826
36.20,5.882
36.40,5.834
36.60,5.81
36.80,5.786
37.00,5.842
37.20,5.798
37.40,5.826
37.60,5.81
37.80,5.834
38.00,5.81
38.20,5.824
38.40,5.818
38.60,5.782
38.80,5.882
39.00,5.804
39.20,5.934
39.40,5.722
39.60,5.818
39.80,5.81
40.00,5.838
40.20,5.812
40.40,5.846
40.60,5.82
40.80,5.82
41.00,5.824
41.20,5.794
41.40,5.788
41.60,5.838
41.80,5.854
42.00,5.766
42.20,5.802
42.40,5.846
42.60,5.826
42.80,5.826
43.00,5.808
43.20,5.81
43.40,5.824
43.60,5.826
43.80,5.826
44.00,5.86
44.20,5.826
44.40,5.854
44.60,5.796
44.80,5.794
45.00,5.83
45.20,5.816
45.40,5.876
45.60,5.82
45.80,5.832
46.00,5.81
46.20,5.79
46.40,5.804
46.60,5.824
46.80,5.848
47.00,5.802
47.20,5.84
47.40,5.812
47.60,5.816
47.80,5.796
48.00,5.838
48.20,5.82
48.40,5.856
48.60,5.834
48.80,5.796
49.00,5.82
49.20,5.804
49.40,5.854
49.60,5.816
49.80,5.79
50.00,5.798
50.20,5.848
50.40,5.842
50.60,5.81
50.80,5.812
51.00,5.83
51.20,5.834
51.40,5.808
51.60,5.79
51.80,5.842
52.00,5.804
52.20,5.838
52.40,5.834
52.60,5.824
52.80,5.796
53.00,5.83
53.20,5.82
53.40,5.816
53.60,5.856
53.80,5.794
54.00,5.826
54.20,5.812
54.40,5.826
54.60,5.826
54.80,5.78
55.00,5.84
55.20,5.81
55.40,5.82
55.60,5.83
55.80,5.834
56.00,5.816
56.20,5.846
56.40,5.782
56.60,5.84
56.80,5.84
57.00,5.798
57.20,5.942
57.40,5.71
57.60,5.764
57.80,5.868
58.00,5.81
58.20,5.818
58.40,5.794
58.60,5.818
58.80,5.84
59.00,5.81
59.20,5.864
59.40,5.854
59.60,5.802
59.80,5.838
60.00,5.852
60.20,5.82
60.40,5.772
60.60,5.86
60.80,5.798
61.00,5.832
61.20,5.852
61.40,5.838
61.60,5.79
61.80,5.81
62.00,5.854
62.20,5.776
62.40,5.834
62.60,5.804
62.80,5.834
63.00,5.83
63.20,5.824
63.40,5.81
63.60,5.812
63.80,5.826
64.00,5.812
64.20,5.808
64.40,5.832
64.60,5.81
64.80,5.862
65.00,5.824
65.20,5.81
65.40,5.816
65.60,5.798
65.80,5.838
66.00,5.798
66.20,5.82
66.40,5.864
66.60,5.82
66.80,5.81
67.00,5.87
67.20,5.838
67.40,5.754
67.60,5.816
67.80,5.868
68.00,5.804
68.20,5.816
68.40,5.802
68.60,5.824
68.80,5.782
69.00,5.83
69.20,5.824
69.40,5.854
69.60,5.868
69.80,5.816
70.00,5.812
70.20,5.84
70.40,5.824
70.60,5.818
70.80,5.81
71.00,5.86
71.20,5.826
71.40,5.794
71.60,5.804
71.80,5.802
72.00,5.862
72.20,5.79
72.40,5.832
72.60,5.818
72.80,5.846
73.00,5.848
73.20,5.808
73.40,5.846
73.60,5.826
73.80,5.81
74.00,5.83
74.20,5.826
74.40,5.824
74.60,5.842
74.80,5.83
75.00,5.782
75.20,5.942
75.40,5.738
75.60,5.774
75.80,5.876
76.00,5.808
76.20,5.838
76.40,5.838
76.60,5.84
76.80,5.826
77.00,5.834
77.20,5.838
77.40,5.804
77.60,5.81
77.80,5.854
78.00,5.816
78.20,5.824
78.40,5.84
78.60,5.772
78.80,5.846
79.00,5.842
79.20,5.782
79.40,5.83
79.60,5.818
79.80,5.83
80.00,5.84
80.20,5.864
80.40,5.826
80.60,5.75
80.80,5.78
81.00,5.782
81.20,5.874
81.40,5.816
81.60,5.854
81.80,5.84
82.00,5.788
82.20,5.842
82.40,5.812
82.60,5.78
82.80,5.816
83.00,5.798
83.20,5.824
83.40,5.842
83.60,5.852
83.80,5.81
84.00,5.82
84.20,5.81
84.40,5.854
84.60,5.846
84.80,5.838
85.00,5.852
85.20,5.826
85.40,5.79
85.60,5.808
85.80,5.824
86.00,5.834
86.20,5.854
86.40,5.816
86.60,5.804
86.80,5.79
87.00,5.87
87.20,5.802
87.40,5.818
87.60,5.794
87.80,5.838
88.00,5.846
88.20,5.802
88.40,5.812
88.60,5.82
88.80,5.87
89.00,5.798
89.20,5.826
89.40,5.774
89.60,5.804
89.80,5.854
90.00,5.804
90.20,5.818
90.40,5.838
90.60,5.812
90.80,5.812
91.00,5.812
91.20,5.826
91.40,5.82
91.60,5.812
91.80,5.832
92.00,5.81
92.20,5.81
92.40,5.864
92.60,5.824
92.80,5.81
93.00,5.826
93.20,5.906
93.40,5.774
93.60,5.842
93.80,5.818
94.00,5.796
94.20,5.838
94.40,5.826
94.60,5.846
94.80,5.812
95.00,5.816
95.20,5.832
95.40,5.81
95.60,5.86
95.80,5.796
96.00,5.81
96.20,5.808
96.40,5.796
96.60,5.826
96.80,5.852
97.00,5.824
97.20,5.826
97.40,5.816
97.60,5.812
97.80,5.808
98.00,5.846
98.20,5.848
98.40,5.818
98.60,5.786
98.80,5.86
99.00,5.776
99.20,5.83
99.40,5.812
99.60,5.838
99.80,5.788
100.00,5.852
100.20,5.818
100.40,5.816
100.60,5.854
100.80,5.84
101.00,5.83
101.20,5.804
101.40,5.842
101.60,5.826
101.80,5.818
102.00,5.804
102.20,5.864
102.40,5.816
102.60,5.816
102.80,5.832
103.00,5.826
