Time (ms),Main Avg Current (mA)
0.00,2.75
0.20,2.728
0.40,2.714
0.60,2.698
0.80,2.826
1.00,2.642
1.20,2.738
1.40,2.746
1.60,2.714
1.80,2.716
2.00,2.746
2.20,2.692
2.40,2.754
2.60,2.738
2.80,2.722
3.00,2.732
3.20,2.752
3.40,2.624
3.60,2.804
3.80,2.7
4.00,2.732
4.20,2.714
4.40,2.766
4.60,2.724
4.80,2.678
5.00,2.75
5.20,2.724
5.40,2.764
5.60,2.694
5.80,2.698
6.00,2.768
6.20,2.72
6.40,2.676
6.60,2.736
6.80,2.776
7.00,2.692
7.20,2.666
7.40,2.824
7.60,2.75
7.80,2.672
8.00,2.794
8.20,2.772
8.40,2.774
8.60,2.72
8.80,2.824
9.00,2.694
9.20,2.71
9.40,2.802
9.60,2.772
9.80,2.692
10.00,2.724
10.20,2.818
10.40,2.72
10.60,2.7
10.80,2.758
11.00,2.834
11.20,2.662
11.40,2.72
11.60,2.864
11.80,2.698
12.00,2.742
12.20,2.864
12.40,2.694
12.60,2.802
12.80,2.728
13.00,2.772
13.20,2.73
13.40,2.754
13.60,2.72
13.80,2.75
14.00,2.78
14.20,2.62
14.40,2.842
14.60,2.702
14.80,2.664
15.00,2.764
15.20,2.706
15.40,2.692
15.60,2.782
15.80,2.628
16.00,2.772
16.20,2.768
16.40,2.648
16.60,2.738
16.80,2.746
17.00,2.688
17.20,2.738
17.40,2.714
17.60,2.692
17.80,2.736
18.00,2.766
18.20,2.698
18.40,2.742
18.60,2.714
18.80,2.706
19.00,2.744
19.20,2.714
19.40,2.742
19.60,2.746
19.80,2.666
20.00,2.766
20.20,2.644
20.40,2.76
20.60,2.724
20.80,2.722
21.00,2.746
21.20,2.738
21.40,2.688
21.60,2.686
21.80,2.78
22.00,2.686
22.20,2.688
22.40,2.758
22.60,2.732
22.80,2.67
23.00,2.752
23.20,2.722
23.40,2.706
23.60,2.72
23.80,2.724
24.00,2.71
24.20,2.76
24.40,2.656
24.60,2.76
24.80,2.692
25.00,2.75
25.20,2.818
25.40,2.632
25.60,2.768
25.80,2.738
26.00,2.724
26.20,2.83
26.40,2.698
26.60,2.728
