Time (ms),Main Avg Current (mA)
0.00,5.75
0.20,5.728
0.40,5.81
0.60,5.736
0.80,5.784
1.00,5.8
1.20,5.802
1.40,5.712
1.60,5.786
1.80,5.778
2.00,5.784
2.20,5.78
2.40,5.748
2.60,5.794
2.80,5.772
3.00,5.75
3.20,5.858
3.40,5.656
3.60,5.808
3.80,5.744
4.00,5.734
4.20,5.808
4.40,5.778
4.60,5.754
4.80,5.756
5.00,5.736
5.20,5.758
5.40,5.78
5.60,5.754
5.80,5.778
6.00,5.776
6.20,5.732
6.40,5.788
6.60,5.8
6.80,5.778
7.00,5.748
7.20,5.788
7.40,5.784
7.60,5.77
7.80,5.764
8.00,5.706
8.20,5.744
8.40,5.758
8.60,5.794
8.80,5.766
9.00,5.766
9.20,5.734
9.40,5.778
9.60,5.72
9.80,5.806
10.00,5.758
10.20,5.766
10.40,5.784
10.60,5.762
10.80,5.778
11.00,5.778
11.20,5.77
11.40,5.772
11.60,5.736
11.80,5.77
12.00,5.744
12.20,5.78
12.40,5.744
12.60,5.776
12.80,5.772
13.00,5.778
13.20,5.736
13.40,5.714
13.60,5.806
13.80,5.756
14.00,5.742
14.20,5.814
14.40,5.726
14.60,5.764
14.80,5.75
15.00,5.736
15.20,5.766
15.40,5.762
15.60,5.764
15.80,5.74
16.00,5.772
16.20,5.732
16.40,5.77
16.60,5.82
16.80,5.754
17.00,5.772
17.20,5.778
17.40,5.77
17.60,5.762
17.80,5.78
18.00,5.798
18.20,5.754
18.40,5.784
18.60,5.788
18.80,5.766
19.00,5.748
19.20,5.828
19.40,5.748
19.60,5.78
19.80,5.744
20.00,5.764
20.20,5.77
20.40,5.792
20.60,5.754
20.80,5.778
21.00,5.776
21.20,5.85
21.40,5.732
21.60,5.736
21.80,5.766
22.00,5.764
22.20,5.75
22.40,5.758
22.60,5.762
22.80,5.77
23.00,5.786
23.20,5.77
23.40,5.794
23.60,5.784
23.80,5.718
24.00,5.728
24.20,5.732
24.40,5.766
24.60,5.744
24.80,5.766
25.00,5.748
25.20,5.78
25.40,5.728
25.60,5.754
25.80,5.764
26.00,5.788
26.20,5.75
26.40,5.794
26.60,5.718
26.80,5.758
27.00,5.742
27.20,5.8
27.40,5.758
27.60,5.77
27.80,5.772
28.00,5.766
28.20,5.792
28.40,5.758
28.60,5.778
28.80,5.772
29.00,5.75
29.20,5.756
29.40,5.78
29.60,5.784
29.80,5.736
30.00,5.722
30.20,5.776
30.40,5.762
30.60,5.762
30.80,5.75
31.00,5.798
31.20,5.764
31.40,5.756
31.60,5.754
31.80,5.744
