Time (ms),Main Avg Current (mA)
0.00,5.736
0.20,5.744
0.40,5.77
0.60,5.692
0.80,5.754
1.00,5.766
1.20,5.698
1.40,5.69
1.60,5.758
1.80,5.75
2.00,5.71
2.20,5.714
2.40,5.72
2.60,5.754
2.80,5.744
3.00,5.748
3.20,5.788
3.40,5.66
3.60,5.778
3.80,5.692
4.00,5.784
4.20,5.714
4.40,5.714
4.60,5.786
4.80,5.784
5.00,5.698
5.20,5.736
5.40,5.736
5.60,5.754
5.80,5.712
6.00,5.766
6.20,5.72
6.40,5.696
6.60,5.718
6.80,5.718
7.00,5.786
7.20,5.734
7.40,5.766
7.60,5.71
7.80,5.766
8.00,5.718
8.20,5.778
8.40,5.728
8.60,5.71
8.80,5.762
9.00,5.732
9.20,5.742
9.40,5.734
9.60,5.736
9.80,5.732
10.00,5.756
10.20,5.704
10.40,5.72
10.60,5.72
10.80,5.784
11.00,5.766
11.20,5.732
11.40,5.762
11.60,5.692
11.80,5.706
12.00,5.766
12.20,5.714
12.40,5.728
12.60,5.762
12.80,5.772
13.00,5.732
13.20,5.718
13.40,5.766
13.60,5.754
13.80,5.736
14.00,5.732
14.20,5.722
14.40,5.75
14.60,5.736
14.80,5.718
15.00,5.748
15.20,5.764
15.40,5.754
15.60,5.698
15.80,5.7
16.00,5.728
16.20,5.772
16.40,5.756
16.60,5.776
16.80,5.75
17.00,5.72
17.20,5.698
17.40,5.706
17.60,5.754
17.80,5.706
18.00,5.776
18.20,5.742
18.40,5.688
18.60,5.756
18.80,5.778
19.00,5.762
19.20,5.712
19.40,5.74
19.60,5.756
19.80,5.742
20.00,5.722
20.20,5.75
20.40,5.762
20.60,5.78
20.80,5.74
21.00,5.712
21.20,5.778
21.40,5.688
21.60,5.772
21.80,5.77
22.00,5.74
22.20,5.726
22.40,5.706
22.60,5.756
22.80,5.75
23.00,5.748
23.20,5.722
23.40,5.748
23.60,5.736
23.80,5.722
24.00,5.734
24.20,5.734
24.40,5.758
24.60,5.756
24.80,5.696
25.00,5.748
25.20,5.744
25.40,5.766
25.60,5.726
25.80,5.772
26.00,5.704
26.20,5.766
26.40,5.736
26.60,5.696
26.80,5.75
27.00,5.714
27.20,5.726
27.40,5.764
27.60,5.754
27.80,5.728
28.00,5.748
28.20,5.762
28.40,5.698
28.60,5.71
28.80,5.754
29.00,5.736
29.20,5.74
29.40,5.736
29.60,5.71
29.80,5.762
30.00,5.758
30.20,5.748
30.40,5.736
30.60,5.734
30.80,5.742
31.00,5.674
31.20,5.794
31.40,5.726
31.60,5.754
31.80,5.754
32.00,5.72
32.20,5.74
32.40,5.714
32.60,5.744
32.80,5.72
33.00,5.706
33.20,5.734
33.40,5.784
33.60,5.75
33.80,5.754
34.00,5.736
34.20,5.778
34.40,5.748
34.60,5.69
34.80,5.728
35.00,5.718
35.20,5.748
35.40,5.748
35.60,5.714
35.80,5.734
36.00,5.75
36.20,5.71
36.40,5.742
36.60,5.736
36.80,5.758
37.00,5.764
37.20,5.7
37.40,5.744
37.60,5.794
37.80,5.706
38.00,5.776
38.20,5.698
38.40,5.712
38.60,5.758
38.80,5.718
39.00,5.748
39.20,5.85
39.40,5.612
39.60,5.71
39.80,5.78
40.00,5.788
40.20,5.72
40.40,5.712
40.60,5.764
40.80,5.698
41.00,5.756
41.20,5.718
41.40,5.734
41.60,5.718
41.80,5.722
42.00,5.762
42.20,5.72
42.40,5.756
42.60,5.726
42.80,5.732
43.00,5.756
43.20,5.736
