Time (ms),Main Avg Current (mA)
0.00,5.782
0.20,5.832
0.40,5.83
0.60,5.846
0.80,5.826
1.00,5.876
1.20,5.802
1.40,5.838
1.60,5.81
1.80,5.826
2.00,5.852
2.20,5.86
2.40,5.818
2.60,5.848
2.80,5.846
3.00,5.848
3.20,5.898
3.40,5.692
3.60,5.852
3.80,5.802
4.00,5.854
4.20,5.856
4.40,5.82
4.60,5.848
4.80,5.766
5.00,5.852
5.20,5.846
5.40,5.852
5.60,5.856
5.80,5.808
6.00,5.83
6.20,5.848
6.40,5.816
6.60,5.812
6.80,5.856
7.00,5.786
7.20,5.848
7.40,5.816
7.60,5.826
7.80,5.848
8.00,5.842
8.20,5.812
8.40,5.86
8.60,5.782
8.80,5.868
9.00,5.84
9.20,5.816
9.40,5.874
9.60,5.81
9.80,5.832
10.00,5.856
10.20,5.87
10.40,5.812
10.60,5.856
10.80,5.838
11.00,5.812
11.20,5.796
11.40,5.846
11.60,5.818
11.80,5.874
12.00,5.846
12.20,5.796
12.40,5.848
12.60,5.87
12.80,5.84
13.00,5.796
13.20,5.812
13.40,5.826
13.60,5.86
13.80,5.824
14.00,5.84
14.20,5.812
14.40,5.856
14.60,5.868
14.80,5.81
15.00,5.852
15.20,5.878
15.40,5.83
15.60,5.796
15.80,5.82
16.00,5.882
16.20,5.832
16.40,5.842
16.60,5.84
16.80,5.82
17.00,5.826
17.20,5.852
17.40,5.86
17.60,5.82
17.80,5.794
18.00,5.812
18.20,5.852
18.40,5.832
18.60,5.832
18.80,5.84
19.00,5.834
19.20,5.826
19.40,5.812
19.60,5.832
19.80,5.862
20.00,5.818
20.20,5.842
20.40,5.852
20.60,5.816
20.80,5.832
21.00,5.832
21.20,5.942
21.40,5.738
21.60,5.874
21.80,5.848
22.00,5.818
22.20,5.832
22.40,5.852
22.60,5.808
22.80,5.87
23.00,5.82
23.20,5.834
23.40,5.824
23.60,5.84
23.80,5.838
24.00,5.83
24.20,5.824
24.40,5.794
24.60,5.852
24.80,5.842
25.00,5.816
25.20,5.864
25.40,5.772
25.60,5.864
25.80,5.838
26.00,5.826
26.20,5.854
26.40,5.824
26.60,5.79
26.80,5.848
27.00,5.804
27.20,5.864
27.40,5.826
27.60,5.874
27.80,5.842
28.00,5.812
28.20,5.826
28.40,5.816
28.60,5.884
28.80,5.838
29.00,5.856
29.20,5.804
29.40,5.826
29.60,5.826
29.80,5.878
30.00,5.818
30.20,5.856
30.40,5.816
30.60,5.826
30.80,5.852
31.00,5.84
31.20,5.846
31.40,5.842
31.60,5.852
