Time (ms),Main Avg Current (mA)
0.00,5.806
0.20,5.82
0.40,5.87
0.60,5.848
0.80,5.828
1.00,5.844
1.20,5.842
1.40,5.836
1.60,5.874
1.80,5.834
2.00,5.826
2.20,5.834
2.40,5.848
2.60,5.826
2.80,5.852
3.00,5.822
3.20,5.916
3.40,5.754
3.60,5.814
3.80,5.826
4.00,5.842
4.20,5.852
4.40,5.816
4.60,5.83
4.80,5.872
5.00,5.82
5.20,5.878
5.40,5.794
5.60,5.842
5.80,5.842
6.00,5.834
6.20,5.83
6.40,5.83
6.60,5.82
6.80,5.834
7.00,5.87
7.20,5.82
7.40,5.826
7.60,5.858
7.80,5.826
8.00,5.826
8.20,5.804
8.40,5.882
8.60,5.864
8.80,5.842
9.00,5.834
9.20,5.826
9.40,5.816
9.60,5.87
9.80,5.836
10.00,5.812
10.20,5.842
10.40,5.838
10.60,5.864
10.80,5.86
11.00,5.794
11.20,5.836
11.40,5.83
11.60,5.822
11.80,5.804
12.00,5.86
12.20,5.838
12.40,5.844
12.60,5.826
12.80,5.812
13.00,5.834
13.20,5.842
13.40,5.828
13.60,5.864
13.80,5.852
14.00,5.87
14.20,5.826
14.40,5.842
14.60,5.782
14.80,5.9
15.00,5.838
15.20,5.858
15.40,5.872
15.60,5.786
15.80,5.816
16.00,5.856
16.20,5.828
16.40,5.842
16.60,5.828
16.80,5.892
17.00,5.834
17.20,5.816
17.40,5.836
17.60,5.826
17.80,5.822
18.00,5.838
18.20,5.858
18.40,5.842
18.60,5.82
18.80,5.828
19.00,5.872
19.20,5.812
19.40,5.838
19.60,5.822
19.80,5.864
20.00,5.828
20.20,5.842
20.40,5.834
20.60,5.826
20.80,5.836
21.00,5.828
21.20,5.94
21.40,5.734
21.60,5.844
21.80,5.836
22.00,5.834
22.20,5.828
22.40,5.836
22.60,5.812
22.80,5.87
23.00,5.826
23.20,5.848
23.40,5.848
23.60,5.872
23.80,5.784
24.00,5.88
24.20,5.874
24.40,5.784
24.60,5.798
24.80,5.844
25.00,5.896
25.20,5.82
25.40,5.83
25.60,5.826
25.80,5.828
26.00,5.886
26.20,5.79
26.40,5.88
26.60,5.852
26.80,5.786
27.00,5.87
27.20,5.826
27.40,5.834
27.60,5.804
27.80,5.87
28.00,5.85
28.20,5.826
28.40,5.838
28.60,5.856
28.80,5.82
29.00,5.848
29.20,5.834
29.40,5.82
29.60,5.794
29.80,5.836
30.00,5.826
30.20,5.852
30.40,5.848
30.60,5.864
30.80,5.834
31.00,5.904
31.20,5.804
31.40,5.814
31.60,5.85
31.80,5.842
32.00,5.858
32.20,5.838
32.40,5.83
32.60,5.844
32.80,5.83
33.00,5.844
33.20,5.864
33.40,5.852
33.60,5.82
33.80,5.83
34.00,5.88
34.20,5.836
34.40,5.754
34.60,5.878
34.80,5.844
35.00,5.85
35.20,5.814
35.40,5.844
35.60,5.812
35.80,5.828
36.00,5.816
36.20,5.836
36.40,5.836
36.60,5.82
36.80,5.838
37.00,5.826
37.20,5.836
37.40,5.806
37.60,5.86
37.80,5.848
38.00,5.82
38.20,5.806
38.40,5.848
38.60,5.858
38.80,5.834
39.00,5.826
39.20,5.944
39.40,5.776
39.60,5.798
39.80,5.834
40.00,5.902
40.20,5.804
40.40,5.82
40.60,5.858
40.80,5.79
41.00,5.852
41.20,5.842
41.40,5.85
41.60,5.826
41.80,5.85
42.00,5.816
42.20,5.85
42.40,5.852
42.60,5.878
42.80,5.836
43.00,5.82
43.20,5.828
43.40,5.786
43.60,5.864
43.80,5.806
44.00,5.838
44.20,5.838
44.40,5.87
44.60,5.82
44.80,5.864
45.00,5.808
45.20,5.826
45.40,5.836
45.60,5.798
45.80,5.856
46.00,5.826
46.20,5.864
46.40,5.838
46.60,5.828
46.80,5.85
47.00,5.848
47.20,5.826
47.40,5.826
47.60,5.82
47.80,5.814
48.00,5.88
48.20,5.82
48.40,5.838
48.60,5.826
48.80,5.852
49.00,5.838
49.20,5.848
49.40,5.816
49.60,5.842
49.80,5.83
50.00,5.816
50.20,5.87
50.40,5.82
50.60,5.842
50.80,5.836
51.00,5.848
51.20,5.79
51.40,5.866
51.60,5.852
51.80,5.808
52.00,5.836
52.20,5.828
52.40,5.792
52.60,5.86
52.80,5.878
53.00,5.814
53.20,5.888
53.40,5.804
53.60,5.848
53.80,5.844
54.00,5.826
54.20,5.838
54.40,5.822
54.60,5.852
54.80,5.812
55.00,5.826
55.20,5.874
55.40,5.82
55.60,5.806
55.80,5.85
56.00,5.82
56.20,5.816
56.40,5.814
56.60,5.87
56.80,5.848
57.00,5.822
57.20,5.902
57.40,5.706
57.60,5.864
57.80,5.858
58.00,5.856
58.20,5.804
58.40,5.864
58.60,5.826
58.80,5.828
59.00,5.826
59.20,5.844
59.40,5.86
59.60,5.838
59.80,5.866
60.00,5.826
60.20,5.822
60.40,5.85
60.60,5.816
60.80,5.83
61.00,5.848
61.20,5.892
61.40,5.864
61.60,5.79
61.80,5.794
62.00,5.848
62.20,5.784
62.40,5.85
62.60,5.864
62.80,5.874
63.00,5.848
63.20,5.842
63.40,5.804
63.60,5.842
63.80,5.83
64.00,5.83
64.20,5.858
64.40,5.834
64.60,5.816
64.80,5.842
65.00,5.844
65.20,5.822
65.40,5.888
65.60,5.82
65.80,5.844
66.00,5.836
66.20,5.822
66.40,5.836
66.60,5.82
66.80,5.886
67.00,5.838
67.20,5.844
67.40,5.816
67.60,5.844
67.80,5.83
68.00,5.826
68.20,5.852
68.40,5.834
68.60,5.806
68.80,5.814
69.00,5.872
69.20,5.836
69.40,5.784
69.60,5.874
69.80,5.826
70.00,5.848
70.20,5.858
70.40,5.844
70.60,5.82
70.80,5.776
71.00,5.86
71.20,5.852
71.40,5.826
71.60,5.878
71.80,5.816
72.00,5.794
72.20,5.83
72.40,5.806
72.60,5.834
72.80,5.856
73.00,5.866
73.20,5.82
73.40,5.83
73.60,5.852
73.80,5.85
74.00,5.812
74.20,5.838
74.40,5.852
74.60,5.838
74.80,5.838
75.00,5.85
75.20,5.91
75.40,5.756
75.60,5.814
75.80,5.828
76.00,5.87
76.20,5.834
76.40,5.836
76.60,5.83
76.80,5.872
77.00,5.792
77.20,5.85
77.40,5.822
77.60,5.852
77.80,5.86
78.00,5.838
78.20,5.838
78.40,5.856
78.60,5.856
78.80,5.806
79.00,5.848
79.20,5.826
79.40,5.836
79.60,5.858
79.80,5.786
80.00,5.85
80.20,5.838
80.40,5.852
80.60,5.848
80.80,5.866
81.00,5.844
81.20,5.864
81.40,5.828
81.60,5.842
81.80,5.816
82.00,5.822
82.20,5.852
82.40,5.834
82.60,5.804
82.80,5.85
83.00,5.83
83.20,5.852
83.40,5.87
83.60,5.814
83.80,5.852
84.00,5.814
84.20,5.864
84.40,5.838
84.60,5.814
84.80,5.83
85.00,5.878
85.20,5.85
85.40,5.844
85.60,5.804
85.80,5.822
86.00,5.872
86.20,5.8
86.40,5.83
86.60,5.826
86.80,5.808
87.00,5.864
87.20,5.872
87.40,5.798
87.60,5.888
87.80,5.826
88.00,5.856
88.20,5.828
88.40,5.848
88.60,5.836
88.80,5.806
89.00,5.828
89.20,5.812
89.40,5.82
89.60,5.844
89.80,5.888
90.00,5.826
90.20,5.85
90.40,5.856
90.60,5.83
90.80,5.834
91.00,5.806
91.20,5.87
91.40,5.858
91.60,5.888
91.80,5.784
92.00,5.822
