Time (ms),Main Avg Current (mA)
0.00,2.634
0.20,2.628
0.40,2.618
0.60,2.676
0.80,2.638
1.00,2.634
1.20,2.628
1.40,2.642
1.60,2.638
1.80,2.616
2.00,2.676
2.20,2.67
2.40,2.62
2.60,2.602
2.80,2.676
3.00,2.662
3.20,2.632
3.40,2.602
3.60,2.66
3.80,2.708
4.00,2.56
4.20,2.574
4.40,2.734
4.60,2.684
4.80,2.558
5.00,2.624
5.20,2.706
5.40,2.66
5.60,2.628
5.80,2.646
6.00,2.566
6.20,2.682
6.40,2.722
6.60,2.58
6.80,2.624
7.00,2.678
7.20,2.624
7.40,2.66
7.60,2.638
7.80,2.642
8.00,2.604
8.20,2.76
8.40,2.612
8.60,2.624
8.80,2.626
9.00,2.61
9.20,2.716
9.40,2.634
9.60,2.616
9.80,2.64
10.00,2.62
10.20,2.678
10.40,2.656
10.60,2.588
10.80,2.638
11.00,2.678
11.20,2.604
11.40,2.634
11.60,2.676
11.80,2.686
12.00,2.626
12.20,2.7
12.40,2.612
12.60,2.576
12.80,2.69
13.00,2.628
13.20,2.64
13.40,2.628
13.60,2.616
13.80,2.69
14.00,2.602
14.20,2.624
14.40,2.662
14.60,2.628
14.80,2.65
15.00,2.612
15.20,2.612
15.40,2.742
15.60,2.768
15.80,2.486
16.00,2.528
16.20,2.722
16.40,2.656
16.60,2.544
16.80,2.69
17.00,2.66
17.20,2.632
17.40,2.59
17.60,2.642
17.80,2.664
18.00,2.664
18.20,2.558
18.40,2.642
18.60,2.668
18.80,2.662
19.00,2.62
19.20,2.59
19.40,2.66
19.60,2.65
19.80,2.606
20.00,2.598
20.20,2.604
20.40,2.638
20.60,2.72
20.80,2.598
21.00,2.604
21.20,2.706
21.40,2.594
21.60,2.678
21.80,2.624
22.00,2.648
22.20,2.648
22.40,2.634
22.60,2.598
22.80,2.672
23.00,2.642
23.20,2.576
23.40,2.638
23.60,2.638
23.80,2.634
24.00,2.634
24.20,2.648
24.40,2.664
24.60,2.552
24.80,2.634
25.00,2.698
25.20,2.676
25.40,2.562
25.60,2.632
25.80,2.66
26.00,2.67
26.20,2.574
26.40,2.604
26.60,2.706
26.80,2.686
27.00,2.638
27.20,2.624
27.40,2.612
27.60,2.712
27.80,2.654
28.00,2.594
28.20,2.626
28.40,2.67
28.60,2.646
28.80,2.65
29.00,2.654
29.20,2.62
29.40,2.654
29.60,2.628
29.80,2.646
30.00,2.59
30.20,2.642
30.40,2.708
30.60,2.58
30.80,2.566
31.00,2.706
31.20,2.682
31.40,2.558
31.60,2.632
31.80,2.676
32.00,2.642
32.20,2.64
32.40,2.616
32.60,2.602
32.80,2.638
33.00,2.682
33.20,2.642
33.40,2.552
33.60,2.654
33.80,2.66
34.00,2.59
34.20,2.772
34.40,2.698
34.60,3.368
34.80,3.784
35.00,3.638
35.20,3.748
35.40,3.816
35.60,3.964
35.80,3.976
36.00,4.006
36.20,3.98
36.40,4.006
36.60,3.972
36.80,4.006
37.00,3.984
37.20,4.024
37.40,4.012
37.60,3.97
37.80,4.006
38.00,3.948
38.20,3.98
38.40,3.976
38.60,3.976
38.80,3.97
39.00,4.012
39.20,4.064
39.40,3.888
39.60,3.956
39.80,4.024
40.00,3.962
40.20,3.972
40.40,3.948
40.60,3.986
40.80,3.956
41.00,3.994
41.20,3.99
41.40,3.968
41.60,3.958
41.80,4.008
42.00,3.984
42.20,3.99
42.40,3.97
42.60,3.984
42.80,3.97
43.00,3.958
43.20,3.94
43.40,3.964
43.60,3.962
43.80,3.992
44.00,3.99
44.20,3.992
44.40,3.968
44.60,3.972
44.80,3.962
45.00,3.994
45.20,4.022
45.40,3.928
45.60,3.97
45.80,3.992
46.00,3.954
46.20,4.006
46.40,3.972
46.60,3.926
46.80,3.968
47.00,3.968
47.20,3.97
47.40,3.97
47.60,3.972
47.80,3.99
48.00,3.92
48.20,3.99
48.40,3.958
48.60,3.992
48.80,4.014
49.00,4.008
49.20,3.978
49.40,3.964
49.60,3.928
49.80,3.942
50.00,3.98
50.20,3.986
50.40,3.992
50.60,3.972
50.80,3.97
51.00,3.928
51.20,4.024
51.40,3.946
51.60,3.986
51.80,4.014
52.00,3.994
52.20,3.946
52.40,3.95
52.60,3.994
52.80,3.95
53.00,3.992
53.20,3.99
53.40,3.95
53.60,3.932
53.80,3.928
54.00,3.984
54.20,3.954
54.40,3.97
54.60,4.002
54.80,3.998
55.00,3.994
55.20,3.962
55.40,3.948
55.60,3.95
55.80,3.998
56.00,3.98
56.20,3.978
56.40,3.978
56.60,3.984
56.80,3.986
57.00,3.958
57.20,4.028
57.40,3.934
57.60,3.948
57.80,3.986
58.00,3.98
58.20,4.006
58.40,4.016
58.60,3.954
58.80,3.972
59.00,3.914
59.20,3.934
59.40,4.002
59.60,3.984
59.80,3.962
60.00,4.012
60.20,3.98
60.40,3.98
60.60,3.998
60.80,3.976
61.00,3.98
61.20,3.94
61.40,3.976
61.60,3.972
61.80,3.958
62.00,3.986
62.20,3.99
62.40,3.972
62.60,3.994
62.80,3.984
63.00,3.978
63.20,3.992
63.40,4.006
63.60,3.948
63.80,4.006
64.00,3.948
64.20,3.946
64.40,3.98
64.60,3.946
64.80,3.954
65.00,3.976
65.20,3.954
65.40,3.984
65.60,3.924
65.80,3.954
66.00,3.964
66.20,3.97
66.40,4
66.60,4.012
66.80,3.94
67.00,3.98
67.20,3.98
67.40,3.946
67.60,3.986
67.80,3.948
68.00,3.99
68.20,3.99
68.40,3.968
68.60,3.956
68.80,3.998
69.00,3.98
69.20,3.964
69.40,3.97
69.60,3.942
69.80,3.942
70.00,3.992
70.20,3.984
70.40,3.986
70.60,3.948
70.80,3.978
71.00,3.968
71.20,3.976
71.40,3.97
71.60,4
71.80,3.972
72.00,4.002
72.20,3.984
72.40,3.976
72.60,3.946
72.80,3.926
73.00,4.012
73.20,3.962
73.40,3.964
73.60,3.978
73.80,3.964
74.00,3.984
74.20,3.942
74.40,4.022
74.60,3.976
74.80,3.934
75.00,3.964
75.20,3.986
75.40,3.91
75.60,3.968
75.80,3.984
76.00,3.998
76.20,3.98
76.40,3.998
76.60,3.956
76.80,3.978
77.00,3.956
77.20,4.008
77.40,3.992
77.60,3.97
77.80,3.968
78.00,3.972
78.20,3.984
78.40,3.964
78.60,3.968
78.80,3.954
79.00,3.976
79.20,3.972
79.40,3.97
79.60,3.972
79.80,3.984
80.00,3.968
80.20,3.976
80.40,3.964
80.60,3.976
80.80,3.958
81.00,3.986
81.20,3.958
81.40,3.97
81.60,3.972
81.80,4
82.00,3.978
82.20,3.964
82.40,3.992
82.60,3.946
82.80,3.942
83.00,3.984
83.20,3.986
83.40,3.962
83.60,3.954
83.80,3.984
84.00,3.972
84.20,3.962
84.40,3.958
84.60,3.978
84.80,3.94
85.00,3.958
85.20,3.984
85.40,3.968
85.60,3.992
85.80,3.94
86.00,3.986
86.20,3.97
86.40,3.998
86.60,3.994
86.80,3.928
87.00,3.95
87.20,3.958
87.40,3.998
87.60,3.978
87.80,3.946
88.00,3.978
88.20,4
88.40,3.98
88.60,3.986
88.80,3.942
89.00,3.962
89.20,3.956
89.40,4
89.60,3.992
89.80,3.97
90.00,3.968
90.20,3.972
90.40,3.962
90.60,3.946
90.80,4.006
91.00,3.942
91.20,4.038
91.40,3.954
91.60,4.006
91.80,3.98
92.00,4.002
92.20,3.964
92.40,3.99
92.60,3.986
92.80,3.898
93.00,3.958
93.20,4.022
93.40,3.918
93.60,3.986
93.80,3.956
94.00,4.02
94.20,3.968
94.40,3.992
94.60,3.95
94.80,4.002
95.00,3.956
95.20,3.97
95.40,3.978
95.60,3.978
95.80,3.964
96.00,3.958
96.20,4.002
96.40,4.002
96.60,3.942
96.80,4.006
97.00,3.948
97.20,3.984
97.40,3.97
97.60,3.948
97.80,3.958
98.00,3.992
98.20,3.972
98.40,3.962
98.60,3.956
98.80,4.016
99.00,3.94
99.20,3.972
99.40,3.968
99.60,3.968
99.80,4.002
100.00,3.976
100.20,3.976
100.40,3.94
100.60,3.972
100.80,4.002
101.00,3.934
101.20,3.986
101.40,3.968
101.60,3.948
101.80,3.98
102.00,3.98
102.20,3.958
102.40,3.98
102.60,4.02
102.80,3.958
103.00,3.958
103.20,3.932
103.40,3.968
103.60,3.954
103.80,3.964
104.00,3.992
104.20,4.036
104.40,3.986
104.60,3.968
104.80,3.972
105.00,3.972
105.20,3.986
105.40,3.954
105.60,3.97
105.80,3.994
106.00,3.978
106.20,3.948
106.40,3.962
106.60,3.94
106.80,3.97
107.00,3.976
107.20,3.99
107.40,3.998
107.60,3.964
107.80,3.99
108.00,3.98
108.20,3.946
108.40,3.97
108.60,3.976
108.80,3.954
109.00,3.978
109.20,3.976
109.40,3.98
109.60,3.932
109.80,4.002
110.00,3.954
110.20,3.972
110.40,3.958
110.60,4
110.80,3.986
111.00,3.942
111.20,4.012
111.40,3.94
111.60,4.002
111.80,3.992
112.00,3.958
112.20,3.976
112.40,3.978
112.60,3.976
112.80,3.976
113.00,3.97
113.20,3.948
113.40,3.99
113.60,3.954
113.80,3.958
114.00,3.956
114.20,3.99
114.40,3.914
114.60,3.994
114.80,4.014
115.00,3.964
115.20,3.962
115.40,3.97
115.60,3.968
115.80,3.98
116.00,3.954
116.20,3.97
116.40,3.962
116.60,3.986
116.80,4.02
117.00,3.98
117.20,3.954
117.40,3.978
117.60,3.968
117.80,3.962
118.00,3.948
118.20,3.99
118.40,3.978
118.60,3.948
