Time (ms),Main Avg Current (mA)
0.00,3.684
0.20,3.776
0.40,3.738
0.60,3.742
0.80,3.718
1.00,3.782
1.20,3.704
1.40,3.694
1.60,3.804
1.80,3.748
2.00,3.662
2.20,3.702
2.40,3.782
2.60,3.786
2.80,3.724
3.00,3.712
3.20,3.734
3.40,3.726
3.60,3.742
3.80,3.772
4.00,3.764
4.20,3.624
4.40,3.72
4.60,3.76
4.80,3.834
5.00,3.75
5.20,3.654
5.40,3.696
5.60,3.75
5.80,3.79
6.00,3.728
6.20,3.712
6.40,3.734
6.60,3.79
6.80,3.724
7.00,3.658
7.20,3.764
7.40,3.754
7.60,3.706
7.80,3.782
8.00,3.79
8.20,3.726
8.40,3.754
8.60,3.746
8.80,3.716
9.00,3.706
9.20,3.75
9.40,3.746
9.60,3.768
9.80,3.746
10.00,3.71
10.20,3.742
10.40,3.732
10.60,3.784
10.80,3.732
11.00,3.71
11.20,3.712
11.40,3.792
11.60,3.768
11.80,3.748
12.00,3.696
12.20,3.756
12.40,3.69
12.60,3.726
12.80,3.772
13.00,3.79
13.20,3.668
13.40,3.748
13.60,3.694
13.80,3.804
14.00,3.76
14.20,3.738
14.40,3.72
14.60,3.71
14.80,3.74
15.00,3.728
15.20,3.75
15.40,3.732
15.60,3.756
15.80,3.726
16.00,3.776
16.20,3.666
16.40,3.694
16.60,3.75
16.80,3.734
17.00,3.784
17.20,3.676
17.40,3.762
17.60,3.724
17.80,3.702
18.00,3.728
18.20,3.772
18.40,3.728
18.60,3.668
18.80,3.8
19.00,3.754
19.20,3.706
19.40,3.71
19.60,3.738
19.80,3.74
20.00,3.728
20.20,3.72
20.40,3.782
20.60,3.684
20.80,3.696
21.00,3.748
21.20,3.786
21.40,3.658
21.60,3.74
21.80,3.726
22.00,3.728
22.20,3.726
22.40,3.786
22.60,3.71
22.80,3.706
23.00,3.706
23.20,3.76
23.40,3.808
23.60,3.71
23.80,3.68
24.00,3.76
24.20,3.734
24.40,3.756
24.60,3.698
24.80,3.732
25.00,3.756
25.20,3.75
25.40,3.724
25.60,3.784
25.80,3.724
26.00,3.75
26.20,3.704
26.40,3.792
26.60,3.742
26.80,3.756
27.00,3.75
27.20,3.776
27.40,3.72
27.60,3.706
27.80,3.704
28.00,3.748
28.20,3.75
28.40,3.786
28.60,3.756
28.80,3.69
29.00,3.79
29.20,3.754
29.40,3.706
29.60,3.742
29.80,3.77
30.00,3.748
30.20,3.75
30.40,3.762
30.60,3.696
30.80,3.76
31.00,3.726
31.20,3.764
31.40,3.742
31.60,3.738
31.80,3.72
32.00,3.772
32.20,3.704
32.40,3.72
32.60,3.77
32.80,3.696
33.00,3.76
33.20,3.724
33.40,3.716
33.60,3.674
33.80,3.75
34.00,3.768
34.20,3.732
34.40,3.746
34.60,3.726
34.80,3.712
35.00,3.728
35.20,3.784
35.40,3.748
35.60,3.652
35.80,3.756
36.00,3.724
36.20,3.746
36.40,3.75
36.60,3.742
36.80,3.662
37.00,3.746
37.20,3.76
37.40,3.732
37.60,3.77
37.80,3.738
38.00,3.754
38.20,3.684
38.40,3.718
38.60,3.768
38.80,3.75
39.00,3.732
39.20,3.762
39.40,3.696
39.60,3.762
39.80,3.726
40.00,3.724
40.20,3.68
40.40,3.756
40.60,3.77
40.80,3.696
41.00,3.768
41.20,3.75
41.40,3.716
41.60,3.696
41.80,3.748
42.00,3.786
42.20,3.76
42.40,3.684
42.60,3.684
42.80,3.768
43.00,3.762
43.20,3.76
43.40,3.724
43.60,3.71
43.80,3.728
44.00,3.724
44.20,3.756
44.40,3.74
44.60,3.746
44.80,3.688
45.00,3.71
45.20,3.782
45.40,3.738
45.60,3.754
45.80,3.716
46.00,3.74
46.20,3.754
46.40,3.676
46.60,3.726
46.80,3.776
47.00,3.75
47.20,3.724
47.40,3.748
47.60,3.676
47.80,3.702
48.00,3.772
48.20,3.772
48.40,3.638
48.60,3.748
48.80,3.79
49.00,3.784
49.20,3.66
49.40,3.696
49.60,3.706
49.80,3.776
50.00,3.724
50.20,3.716
50.40,3.706
50.60,3.772
50.80,3.768
51.00,3.666
51.20,3.666
51.40,3.74
51.60,3.76
51.80,3.778
52.00,3.734
52.20,3.726
52.40,3.716
52.60,3.754
52.80,3.706
53.00,3.738
53.20,3.726
53.40,3.704
53.60,3.76
53.80,3.772
54.00,3.69
54.20,3.728
54.40,3.748
54.60,3.698
54.80,3.738
55.00,3.812
55.20,3.72
55.40,3.734
55.60,3.698
55.80,3.77
56.00,3.75
56.20,3.782
56.40,3.688
56.60,3.746
56.80,3.76
57.00,3.828
57.20,3.816
57.40,3.688
57.60,3.782
57.80,3.828
58.00,3.75
58.20,3.694
58.40,3.762
58.60,3.77
58.80,3.784
59.00,3.734
59.20,3.706
59.40,3.76
59.60,3.808
59.80,3.726
60.00,3.71
60.20,3.71
60.40,3.8
60.60,3.76
60.80,3.782
61.00,3.77
61.20,3.764
61.40,3.8
61.60,3.82
61.80,3.794
62.00,3.778
62.20,3.808
62.40,3.63
62.60,3.748
62.80,3.804
63.00,3.754
63.20,3.734
63.40,3.746
63.60,3.786
63.80,3.76
64.00,3.716
64.20,3.76
64.40,3.76
64.60,3.676
64.80,3.712
65.00,3.786
65.20,3.742
65.40,3.806
65.60,3.712
65.80,3.694
66.00,3.768
66.20,3.77
66.40,3.732
66.60,3.71
66.80,3.684
67.00,3.704
67.20,3.728
67.40,3.72
67.60,3.748
67.80,3.782
68.00,3.738
68.20,3.68
68.40,3.706
68.60,3.734
68.80,3.76
69.00,3.754
69.20,3.738
69.40,3.682
69.60,3.728
69.80,3.738
70.00,3.776
70.20,3.696
70.40,3.748
70.60,3.74
70.80,3.726
71.00,3.734
71.20,3.728
71.40,3.75
71.60,3.734
71.80,3.704
72.00,3.724
72.20,3.76
72.40,3.716
72.60,3.786
72.80,3.754
73.00,3.732
73.20,3.754
73.40,3.694
73.60,3.764
73.80,3.756
74.00,3.814
74.20,3.768
74.40,3.748
74.60,3.786
74.80,3.756
75.00,3.808
75.20,3.816
75.40,3.718
75.60,3.808
75.80,3.816
76.00,3.828
76.20,3.786
76.40,3.754
76.60,3.772
76.80,3.816
77.00,3.834
77.20,3.75
77.40,3.756
77.60,3.748
77.80,3.79
78.00,3.834
78.20,3.732
78.40,3.748
78.60,3.74
78.80,3.762
79.00,3.756
79.20,3.79
79.40,3.76
79.60,3.684
79.80,3.706
80.00,3.784
80.20,3.75
80.40,3.798
80.60,3.712
80.80,3.732
81.00,3.71
81.20,3.74
81.40,3.782
81.60,3.712
81.80,3.764
82.00,3.718
82.20,3.742
82.40,3.748
82.60,3.738
82.80,3.726
83.00,3.682
83.20,3.8
83.40,3.71
83.60,3.72
83.80,3.662
84.00,3.748
84.20,3.768
84.40,3.728
84.60,3.748
84.80,3.706
85.00,3.706
85.20,3.732
85.40,3.764
85.60,3.728
85.80,3.702
86.00,3.71
86.20,3.704
86.40,3.75
86.60,3.756
86.80,3.746
87.00,3.718
87.20,3.698
87.40,3.804
87.60,3.728
87.80,3.712
88.00,3.732
88.20,3.74
88.40,3.716
88.60,3.756
88.80,3.762
89.00,3.756
89.20,3.712
89.40,3.696
89.60,3.756
89.80,3.77
90.00,3.734
90.20,3.748
90.40,3.762
90.60,3.728
90.80,3.808
91.00,3.702
91.20,3.782
91.40,3.746
91.60,3.804
91.80,3.704
92.00,3.756
92.20,3.764
92.40,3.77
92.60,3.762
92.80,3.808
93.00,3.756
93.20,3.782
93.40,3.672
93.60,3.726
93.80,3.79
94.00,3.8
94.20,3.732
94.40,3.75
94.60,3.786
94.80,3.77
95.00,3.732
95.20,3.76
95.40,3.77
95.60,3.79
95.80,3.712
96.00,3.724
96.20,3.784
96.40,3.732
96.60,3.728
96.80,3.764
97.00,3.748
97.20,3.742
97.40,3.76
97.60,3.716
97.80,3.746
98.00,3.716
98.20,3.746
98.40,3.746
98.60,3.724
98.80,3.77
99.00,3.768
99.20,3.694
99.40,3.734
99.60,3.742
99.80,3.728
100.00,3.682
100.20,3.71
100.40,3.786
100.60,3.768
100.80,3.64
101.00,3.738
101.20,3.748
101.40,3.764
101.60,3.71
101.80,3.732
102.00,3.71
102.20,3.728
102.40,3.764
102.60,3.742
102.80,3.702
103.00,3.68
103.20,3.732
103.40,3.784
103.60,3.762
103.80,3.712
104.00,3.68
104.20,3.776
104.40,3.748
104.60,3.742
104.80,3.742
105.00,3.694
105.20,3.762
105.40,3.768
105.60,3.718
105.80,3.732
106.00,3.732
106.20,3.762
106.40,3.784
106.60,3.748
106.80,3.704
107.00,3.728
107.20,3.76
107.40,3.76
107.60,3.782
107.80,3.746
108.00,3.746
108.20,3.732
108.40,3.8
108.60,3.746
108.80,3.706
109.00,3.8
109.20,3.828
109.40,3.71
109.60,3.706
109.80,3.77
110.00,3.806
110.20,3.792
110.40,3.784
110.60,3.702
110.80,3.712
111.00,3.79
111.20,3.812
111.40,3.68
111.60,3.782
111.80,3.754
112.00,3.716
112.20,3.704
112.40,3.804
112.60,3.814
112.80,3.716
113.00,3.706
113.20,3.776
113.40,3.778
113.60,3.784
113.80,3.732
114.00,3.724
114.20,3.726
114.40,3.738
114.60,3.75
114.80,3.734
115.00,3.77
115.20,3.694
115.40,3.718
115.60,3.742
115.80,3.74
116.00,3.724
116.20,3.762
116.40,3.712
116.60,3.724
116.80,3.772
117.00,3.76
117.20,3.706
117.40,3.732
117.60,3.698
