Time (s),Main Avg Current (mA)
0.0706,3.83
0.0708,3.78
0.0710,3.8
0.0712,3.786
0.0714,3.77
0.0716,3.824
0.0718,3.818
0.0720,3.792
0.0722,3.866
0.0724,3.778
0.0726,3.712
0.0728,3.818
0.0730,3.78
0.0732,3.844
0.0734,3.788
0.0736,3.748
0.0738,3.836
0.0740,3.804
0.0742,3.824
0.0744,3.782
0.0746,3.796
0.0748,3.738
0.0750,3.756
0.0752,3.88
0.0754,3.722
0.0756,3.786
0.0758,3.788
0.0760,3.832
0.0762,3.77
0.0764,3.766
0.0766,3.766
0.0768,3.782
0.0770,3.766
0.0772,3.778
0.0774,3.816
0.0776,3.794
0.0778,3.738
0.0780,3.792
0.0782,3.78
0.0784,3.774
0.0786,3.742
0.0788,3.826
0.0790,3.744
0.0792,3.78
0.0794,3.778
0.0796,3.81
0.0798,3.778
0.0800,3.792
0.0802,3.782
0.0804,3.77
0.0806,3.8
0.0808,3.774
0.0810,3.792
0.0812,3.802
0.0814,3.708
0.0816,3.816
0.0818,3.826
0.0820,3.78
0.0822,3.752
0.0824,3.848
0.0826,3.748
0.0828,3.808
0.0830,3.824
0.0832,3.818
0.0834,3.756
0.0836,3.76
0.0838,3.744
0.0840,3.888
0.0842,3.822
0.0844,3.726
0.0846,3.81
0.0848,3.848
0.0850,3.73
0.0852,3.836
0.0854,3.8
0.0856,3.796
0.0858,3.83
0.0860,3.832
0.0862,3.824
0.0864,3.8
0.0866,3.772
0.0868,3.782
0.0870,3.778
0.0872,3.81
0.0874,3.858
0.0876,3.816
0.0878,3.78
0.0880,3.818
0.0882,3.714
0.0884,3.788
0.0886,3.858
0.0888,3.818
0.0890,3.736
0.0892,3.822
0.0894,3.832
0.0896,3.804
0.0898,3.786
0.0900,3.796
0.0902,3.76
0.0904,3.826
0.0906,3.792
0.0908,3.788
0.0910,3.818
0.0912,3.786
0.0914,3.792
0.0916,3.782
0.0918,3.744
0.0920,3.8
0.0922,3.77
0.0924,3.846
0.0926,3.756
0.0928,3.83
0.0930,3.756
0.0932,3.772
0.0934,3.758
0.0936,3.84
0.0938,3.75
0.0940,3.758
0.0942,3.742
0.0944,3.796
0.0946,3.814
0.0948,3.808
0.0950,3.752
0.0952,3.722
0.0954,3.802
0.0956,3.792
0.0958,3.792
0.0960,3.758
0.0962,3.748
0.0964,3.752
0.0966,3.816
0.0968,3.814
0.0970,3.774
0.0972,3.778
0.0974,3.742
0.0976,3.83
0.0978,3.788
0.0980,3.814
0.0982,3.766
0.0984,3.778
0.0986,3.81
0.0988,3.758
0.0990,3.782
0.0992,3.796
0.0994,3.802
0.0996,3.838
0.0998,3.756
0.1000,3.808
0.1002,3.78
0.1004,3.796
0.1006,3.766
0.1008,3.816
0.1010,3.838
0.1012,3.804
0.1014,3.758
0.1016,3.786
0.1018,3.818
0.1020,3.846
0.1022,3.756
0.1024,3.816
0.1026,3.866
0.1028,3.756
0.1030,3.764
0.1032,3.804
0.1034,3.818
0.1036,3.83
0.1038,3.8
0.1040,3.794
0.1042,3.772
0.1044,3.808
0.1046,3.836
0.1048,3.758
0.1050,3.81
0.1052,3.794
0.1054,3.818
0.1056,3.786
0.1058,3.818
0.1060,3.788
0.1062,3.816
0.1064,3.772
0.1066,3.788
0.1068,3.838
0.1070,3.756
0.1072,3.796
0.1074,3.838
0.1076,3.786
0.1078,3.8
0.1080,3.748
0.1082,3.744
0.1084,3.826
0.1086,3.86
0.1088,3.73
0.1090,3.794
0.1092,3.758
0.1094,3.808
0.1096,3.766
0.1098,3.734
0.1100,3.782
0.1102,3.816
0.1104,3.808
0.1106,3.73
0.1108,3.738
0.1110,3.756
0.1112,3.854
0.1114,3.772
0.1116,3.786
0.1118,3.756
0.1120,3.802
0.1122,3.796
0.1124,3.734
0.1126,3.802
0.1128,3.748
0.1130,3.77
0.1132,3.778
0.1134,3.81
0.1136,3.8
0.1138,3.738
0.1140,3.796
0.1142,3.808
0.1144,3.752
0.1146,3.818
0.1148,3.766
0.1150,3.782
0.1152,3.792
0.1154,3.844
0.1156,3.78
0.1158,3.772
0.1160,3.716
0.1162,3.822
0.1164,3.816
0.1166,3.818
0.1168,3.826
0.1170,3.744
0.1172,3.774
0.1174,3.84
0.1176,3.816
0.1178,3.792
0.1180,3.716
0.1182,3.822
0.1184,3.854
0.1186,3.76
0.1188,3.818
0.1190,3.818
0.1192,3.792
0.1194,3.738
0.1196,3.764
0.1198,3.824
0.1200,3.836
0.1202,3.88
0.1204,3.744
0.1206,3.712
0.1208,3.844
0.1210,3.838
0.1212,3.832
0.1214,3.726
0.1216,3.8
0.1218,3.792
0.1220,3.836
0.1222,3.8
0.1224,3.796
0.1226,3.788
0.1228,3.822
0.1230,3.78
0.1232,3.808
0.1234,3.846
0.1236,3.794
0.1238,3.748
0.1240,3.742
0.1242,3.826
0.1244,3.852
0.1246,3.766
0.1248,3.716
0.1250,3.78
0.1252,3.854
0.1254,3.772
0.1256,3.822
0.1258,3.736
0.1260,3.722
0.1262,3.858
0.1264,3.782
0.1266,3.78
0.1268,3.77
0.1270,3.764
0.1272,3.77
0.1274,3.766
0.1276,3.792
0.1278,3.766
0.1280,3.774
0.1282,3.772
0.1284,3.858
0.1286,3.77
0.1288,3.756
0.1290,3.744
0.1292,3.824
0.1294,3.748
0.1296,3.78
0.1298,3.796
0.1300,3.788
0.1302,3.764
0.1304,3.75
0.1306,3.788
0.1308,3.756
0.1310,3.78
0.1312,3.8
0.1314,3.81
0.1316,3.792
0.1318,3.818
0.1320,3.734
0.1322,3.72
0.1324,3.808
0.1326,3.86
0.1328,3.796
0.1330,3.722
0.1332,3.8
0.1334,3.884
0.1336,3.77
0.1338,3.772
0.1340,3.774
0.1342,3.796
0.1344,3.818
0.1346,3.808
0.1348,3.76
0.1350,3.816
0.1352,3.832
0.1354,3.796
0.1356,3.792
0.1358,3.804
0.1360,3.756
0.1362,3.832
0.1364,3.822
0.1366,3.822
0.1368,3.794
0.1370,3.758
0.1372,3.796
0.1374,3.83
0.1376,3.844
0.1378,3.766
0.1380,3.804
0.1382,3.81
0.1384,3.766
0.1386,3.854
0.1388,3.814
0.1390,3.722
0.1392,3.774
0.1394,3.822
0.1396,3.818
0.1398,3.786
0.1400,3.752
0.1402,3.83
0.1404,3.818
0.1406,3.778
0.1408,3.824
0.1410,3.728
0.1412,3.786
0.1414,3.836
0.1416,3.748
0.1418,3.846
0.1420,3.792
0.1422,3.752
0.1424,3.794
0.1426,3.782
0.1428,3.772
0.1430,3.766
0.1432,3.802
0.1434,3.77
0.1436,3.838
0.1438,3.77
0.1440,3.756
0.1442,3.756
0.1444,3.742
0.1446,3.786
0.1448,3.826
0.1450,3.766
0.1452,3.712
0.1454,3.772
0.1456,3.796
0.1458,3.808
0.1460,3.824
0.1462,3.802
0.1464,3.742
0.1466,3.766
0.1468,3.786
0.1470,3.778
0.1472,3.846
0.1474,3.736
0.1476,3.742
0.1478,3.78
0.1480,3.788
0.1482,3.804
0.1484,3.824
0.1486,3.752
0.1488,3.796
0.1490,3.782
0.1492,3.742
0.1494,3.788
0.1496,3.808
0.1498,3.778
0.1500,3.86
0.1502,3.758
0.1504,3.792
0.1506,3.822
0.1508,3.756
0.1510,3.83
0.1512,3.81
0.1514,3.804
0.1516,3.796
0.1518,3.764
0.1520,3.826
0.1522,3.78
0.1524,3.808
0.1526,3.832
0.1528,3.788
0.1530,3.804
0.1532,3.788
0.1534,3.8
0.1536,3.804
0.1538,3.848
0.1540,3.764
0.1542,3.77
0.1544,3.854
0.1546,3.772
0.1548,3.808
0.1550,3.81
0.1552,3.836
0.1554,3.752
0.1556,3.782
0.1558,3.802
0.1560,3.808
0.1562,3.804
0.1564,3.81
0.1566,3.758
0.1568,3.778
0.1570,3.852
0.1572,3.778
0.1574,3.796
0.1576,3.796
0.1578,3.774
0.1580,3.794
0.1582,3.758
0.1584,3.78
0.1586,3.802
0.1588,3.792
0.1590,3.796
0.1592,3.81
0.1594,3.786
0.1596,3.81
0.1598,3.75
0.1600,3.736
0.1602,3.766
0.1604,3.81
0.1606,3.84
0.1608,3.7
0.1610,3.75
0.1612,3.788
0.1614,3.83
0.1616,3.774
0.1618,3.802
0.1620,3.742
0.1622,3.792
0.1624,3.794
0.1626,3.788
0.1628,3.766
0.1630,3.75
0.1632,3.772
0.1634,3.764
0.1636,3.836
0.1638,3.802
0.1640,3.766
0.1642,3.756
0.1644,3.816
0.1646,3.788
0.1648,3.728
0.1650,3.796
0.1652,3.902
0.1654,3.726
0.1656,3.808
0.1658,3.778
0.1660,3.78
0.1662,3.708
0.1664,3.792
0.1666,3.854
0.1668,3.75
0.1670,3.78
0.1672,3.832
0.1674,3.824
0.1676,3.788
0.1678,3.78
0.1680,3.81
0.1682,3.824
0.1684,3.832
0.1686,3.794
0.1688,3.774
0.1690,3.792
0.1692,3.744
0.1694,3.816
0.1696,3.852
0.1698,3.804
0.1700,3.796
0.1702,3.854
0.1704,3.786
0.1706,3.826
0.1708,3.792
0.1710,3.72
0.1712,3.76
0.1714,3.858
0.1716,3.858
0.1718,3.838
0.1720,3.744
0.1722,3.796
0.1724,3.796
0.1726,3.8
0.1728,3.794
0.1730,3.804
0.1732,3.748
0.1734,3.816
0.1736,3.832
0.1738,3.794
