Time (s),Main Avg Current (mA)
0.0000,2.576
0.0002,2.534
0.0004,2.52
0.0006,2.556
0.0008,2.524
0.0010,2.568
0.0012,2.538
0.0014,2.504
0.0016,2.56
0.0018,2.576
0.0020,2.464
0.0022,2.534
0.0024,2.604
0.0026,2.454
0.0028,2.482
0.0030,2.592
0.0032,2.52
0.0034,2.54
0.0036,2.496
0.0038,2.554
0.0040,2.51
0.0042,2.494
0.0044,2.564
0.0046,2.488
0.0048,2.56
0.0050,2.512
0.0052,2.466
0.0054,2.608
0.0056,2.474
0.0058,2.526
0.0060,2.578
0.0062,2.45
0.0064,2.534
0.0066,2.564
0.0068,2.49
0.0070,2.534
0.0072,2.538
0.0074,2.494
0.0076,2.556
0.0078,2.534
0.0080,2.56
0.0082,2.488
0.0084,2.548
0.0086,2.512
0.0088,2.542
0.0090,2.532
0.0092,2.494
0.0094,2.564
0.0096,2.56
0.0098,2.506
0.0100,2.534
0.0102,2.572
0.0104,2.564
0.0106,2.498
0.0108,2.564
0.0110,2.59
0.0112,2.526
0.0114,2.518
0.0116,2.598
0.0118,2.554
0.0120,2.498
0.0122,2.642
0.0124,2.468
0.0126,2.556
0.0128,2.57
0.0130,2.576
0.0132,2.504
0.0134,2.604
0.0136,2.546
0.0138,2.532
0.0140,2.582
0.0142,2.498
0.0144,2.62
0.0146,2.512
0.0148,2.502
0.0150,2.63
0.0152,2.498
0.0154,2.526
0.0156,2.606
0.0158,2.52
0.0160,2.526
0.0162,2.57
0.0164,2.538
0.0166,2.498
0.0168,2.578
0.0170,2.538
0.0172,2.548
0.0174,2.56
0.0176,2.48
0.0178,2.578
0.0180,2.524
0.0182,2.568
0.0184,2.52
0.0186,2.51
0.0188,2.55
0.0190,2.486
0.0192,2.528
0.0194,2.606
0.0196,2.444
0.0198,2.568
0.0200,2.546
0.0202,2.482
0.0204,2.518
0.0206,2.562
0.0208,2.51
0.0210,2.506
0.0212,2.584
0.0214,2.446
0.0216,2.548
0.0218,2.494
0.0220,2.51
0.0222,2.57
0.0224,2.56
0.0226,2.43
0.0228,2.546
0.0230,2.576
0.0232,2.432
0.0234,2.57
0.0236,2.56
0.0238,2.488
0.0240,2.52
0.0242,2.548
