Time (s),Main Avg Current (mA)
0.0000,2.476
0.0002,2.558
0.0004,2.538
0.0006,2.48
0.0008,2.58
0.0010,2.498
0.0012,2.554
0.0014,2.518
0.0016,2.564
0.0018,2.48
0.0020,2.554
0.0022,2.516
0.0024,2.55
0.0026,2.534
0.0028,2.516
0.0030,2.554
0.0032,2.57
0.0034,2.43
0.0036,2.62
0.0038,2.496
0.0040,2.538
0.0042,2.54
0.0044,2.57
0.0046,2.502
0.0048,2.54
0.0050,2.52
0.0052,2.546
0.0054,2.51
0.0056,2.578
0.0058,2.512
0.0060,2.488
0.0062,2.598
0.0064,2.472
0.0066,2.548
0.0068,2.58
0.0070,2.462
0.0072,2.516
0.0074,2.562
0.0076,2.534
0.0078,2.502
0.0080,2.538
0.0082,2.498
0.0084,2.518
0.0086,2.556
0.0088,2.488
0.0090,2.518
0.0092,2.54
0.0094,2.504
0.0096,2.51
0.0098,2.542
0.0100,2.472
0.0102,2.556
0.0104,2.446
0.0106,2.542
0.0108,2.52
0.0110,2.432
0.0112,2.584
0.0114,2.51
0.0116,2.468
0.0118,2.546
0.0120,2.532
0.0122,2.46
0.0124,2.578
0.0126,2.446
0.0128,2.538
0.0130,2.516
0.0132,2.506
0.0134,2.532
0.0136,2.494
0.0138,2.49
0.0140,2.538
0.0142,2.534
0.0144,2.48
0.0146,2.554
0.0148,2.454
0.0150,2.578
0.0152,2.468
0.0154,2.554
0.0156,2.564
0.0158,2.424
0.0160,2.642
0.0162,2.472
0.0164,2.444
0.0166,2.656
0.0168,2.43
0.0170,2.526
0.0172,2.562
0.0174,2.482
0.0176,2.594
0.0178,2.498
0.0180,2.494
0.0182,2.586
0.0184,2.524
0.0186,2.458
0.0188,2.622
0.0190,2.506
0.0192,2.506
0.0194,2.59
0.0196,2.48
0.0198,2.558
0.0200,2.55
0.0202,2.474
0.0204,2.584
0.0206,2.572
0.0208,2.41
0.0210,2.6
0.0212,2.58
0.0214,2.452
0.0216,2.578
0.0218,2.538
0.0220,2.484
0.0222,2.576
0.0224,2.532
0.0226,2.496
0.0228,2.576
0.0230,2.484
0.0232,2.572
0.0234,2.472
0.0236,2.516
0.0238,2.576
0.0240,2.468
0.0242,2.534
0.0244,2.556
0.0246,2.506
0.0248,2.498
0.0250,2.576
0.0252,2.484
0.0254,2.48
0.0256,2.572
0.0258,2.484
0.0260,2.512
0.0262,2.542
0.0264,2.496
0.0266,2.506
0.0268,2.518
0.0270,2.472
0.0272,2.556
0.0274,2.518
0.0276,2.474
0.0278,2.516
0.0280,2.576
0.0282,2.43
0.0284,2.54
0.0286,2.564
0.0288,2.416
0.0290,2.548
0.0292,2.516
0.0294,2.496
0.0296,2.54
0.0298,2.488
0.0300,2.506
0.0302,2.538
0.0304,2.466
0.0306,2.55
0.0308,2.502
0.0310,2.516
0.0312,2.534
0.0314,2.438
0.0316,2.584
0.0318,2.526
0.0320,2.472
0.0322,2.548
0.0324,2.496
0.0326,2.52
0.0328,2.546
0.0330,2.51
0.0332,2.502
0.0334,2.54
0.0336,2.54
0.0338,2.526
0.0340,2.482
0.0342,2.554
0.0344,2.564
0.0346,2.48
0.0348,2.562
0.0350,2.54
0.0352,2.49
0.0354,2.58
0.0356,2.48
0.0358,2.558
0.0360,2.532
0.0362,2.524
0.0364,2.528
0.0366,2.576
0.0368,2.46
0.0370,2.586
0.0372,2.516
0.0374,2.524
0.0376,2.55
0.0378,2.546
0.0380,2.506
0.0382,2.526
0.0384,2.542
0.0386,2.548
0.0388,2.51
0.0390,2.51
0.0392,2.59
0.0394,2.48
0.0396,2.504
0.0398,2.58
0.0400,2.51
0.0402,2.512
0.0404,2.584
0.0406,2.466
0.0408,2.59
0.0410,2.49
0.0412,2.494
0.0414,2.62
0.0416,2.436
0.0418,2.494
0.0420,2.594
0.0422,2.452
0.0424,2.55
0.0426,2.532
0.0428,2.48
0.0430,2.51
0.0432,2.568
0.0434,2.468
0.0436,2.55
0.0438,2.488
0.0440,2.534
0.0442,2.46
0.0444,2.57
0.0446,2.468
0.0448,2.496
0.0450,2.564
0.0452,2.476
0.0454,2.524
0.0456,2.526
0.0458,2.46
0.0460,2.54
0.0462,2.516
0.0464,2.532
0.0466,2.502
0.0468,2.526
0.0470,2.49
0.0472,2.524
0.0474,2.518
0.0476,2.496
0.0478,2.466
0.0480,2.598
0.0482,2.504
0.0484,2.46
0.0486,2.55
0.0488,2.572
0.0490,2.458
0.0492,2.524
0.0494,2.558
0.0496,2.49
0.0498,2.532
0.0500,2.516
0.0502,2.54
0.0504,2.524
0.0506,2.548
0.0508,2.462
0.0510,2.6
0.0512,2.502
0.0514,2.484
0.0516,2.592
0.0518,2.496
0.0520,2.556
0.0522,2.54
0.0524,2.526
0.0526,2.516
0.0528,2.518
0.0530,2.584
0.0532,2.538
0.0534,2.504
0.0536,2.528
0.0538,2.516
0.0540,2.558
0.0542,2.562
0.0544,2.51
0.0546,2.54
0.0548,2.504
0.0550,2.598
0.0552,2.494
0.0554,2.498
0.0556,2.548
0.0558,2.532
0.0560,2.516
0.0562,2.62
0.0564,2.386
0.0566,2.598
0.0568,2.58
0.0570,2.402
0.0572,2.634
0.0574,2.504
0.0576,2.466
0.0578,2.576
0.0580,2.524
0.0582,2.512
0.0584,2.432
0.0586,2.59
0.0588,2.504
0.0590,2.506
0.0592,2.532
0.0594,2.484
0.0596,2.518
0.0598,2.534
0.0600,2.482
0.0602,2.524
0.0604,2.488
0.0606,2.556
0.0608,2.502
0.0610,2.48
0.0612,2.516
0.0614,2.528
0.0616,2.466
0.0618,2.524
0.0620,2.546
0.0622,2.474
0.0624,2.494
0.0626,2.57
0.0628,2.472
0.0630,2.546
0.0632,2.49
0.0634,2.476
0.0636,2.558
0.0638,2.516
0.0640,2.476
0.0642,2.554
0.0644,2.51
0.0646,2.506
0.0648,2.518
0.0650,2.502
0.0652,2.532
0.0654,2.516
0.0656,2.498
0.0658,2.546
0.0660,2.518
0.0662,2.532
0.0664,2.506
0.0666,2.526
0.0668,2.538
0.0670,2.488
0.0672,2.546
0.0674,2.542
0.0676,2.512
0.0678,2.526
0.0680,2.548
0.0682,2.564
0.0684,2.476
0.0686,2.532
0.0688,2.546
0.0690,2.524
0.0692,2.576
0.0694,2.512
0.0696,2.546
0.0698,2.498
0.0700,2.542
0.0702,2.558
0.0704,2.488
0.0706,2.54
0.0708,2.564
0.0710,2.458
0.0712,2.594
0.0714,2.534
0.0716,2.506
0.0718,2.548
0.0720,2.512
0.0722,2.518
0.0724,2.586
0.0726,2.46
0.0728,2.576
0.0730,2.534
0.0732,2.482
0.0734,2.598
0.0736,2.506
0.0738,2.494
0.0740,2.534
0.0742,2.516
0.0744,2.528
0.0746,2.548
0.0748,2.482
0.0750,2.52
0.0752,2.52
0.0754,2.562
0.0756,2.474
0.0758,2.502
0.0760,2.512
0.0762,2.576
0.0764,2.458
0.0766,2.504
0.0768,2.576
0.0770,2.466
0.0772,2.494
0.0774,2.55
0.0776,2.48
0.0778,2.54
0.0780,2.462
0.0782,2.548
0.0784,2.468
0.0786,2.52
0.0788,2.564
0.0790,2.454
0.0792,2.476
0.0794,2.57
0.0796,2.498
0.0798,2.498
0.0800,2.516
0.0802,2.55
0.0804,2.48
0.0806,2.51
0.0808,2.55
0.0810,2.45
0.0812,2.606
0.0814,2.462
0.0816,2.518
0.0818,2.534
0.0820,2.494
0.0822,2.48
0.0824,2.58
0.0826,2.504
0.0828,2.502
0.0830,2.534
0.0832,2.568
0.0834,2.466
0.0836,2.57
0.0838,2.51
0.0840,2.526
0.0842,2.57
0.0844,2.466
0.0846,2.57
0.0848,2.57
0.0850,2.476
0.0852,2.59
0.0854,2.51
0.0856,2.526
0.0858,2.586
0.0860,2.484
0.0862,2.51
0.0864,2.55
0.0866,2.54
0.0868,2.526
0.0870,2.568
0.0872,2.518
0.0874,2.494
0.0876,2.554
0.0878,2.542
0.0880,2.518
0.0882,2.542
0.0884,2.518
0.0886,2.554
0.0888,2.518
0.0890,2.504
0.0892,2.578
0.0894,2.526
0.0896,2.476
0.0898,2.568
0.0900,2.54
0.0902,2.466
0.0904,2.592
0.0906,2.542
0.0908,2.438
0.0910,2.606
0.0912,2.444
0.0914,2.518
0.0916,2.578
0.0918,2.51
0.0920,2.488
0.0922,2.542
0.0924,2.546
0.0926,2.46
0.0928,2.54
0.0930,2.484
0.0932,2.594
0.0934,2.45
0.0936,2.466
0.0938,2.594
0.0940,2.484
0.0942,2.458
0.0944,2.608
