Time (s),Main Avg Current (mA)
0.0000,2.604
0.0002,2.542
0.0004,2.448
0.0006,2.572
0.0008,2.61
0.0010,2.45
0.0012,2.542
0.0014,2.558
0.0016,2.522
0.0018,2.538
0.0020,2.524
0.0022,2.538
0.0024,2.494
0.0026,2.612
0.0028,2.478
0.0030,2.536
0.0032,2.56
0.0034,2.522
0.0036,2.528
0.0038,2.5
0.0040,2.6
0.0042,2.442
0.0044,2.58
0.0046,2.546
0.0048,2.418
0.0050,2.638
0.0052,2.534
0.0054,2.456
0.0056,2.58
0.0058,2.552
0.0060,2.446
0.0062,2.528
0.0064,2.564
0.0066,2.566
0.0068,2.45
0.0070,2.55
0.0072,2.516
0.0074,2.544
0.0076,2.48
0.0078,2.476
0.0080,2.556
0.0082,2.53
0.0084,2.478
0.0086,2.516
0.0088,2.556
0.0090,2.45
0.0092,2.574
0.0094,2.478
0.0096,2.446
0.0098,2.61
0.0100,2.45
0.0102,2.524
0.0104,2.516
0.0106,2.498
0.0108,2.538
0.0110,2.522
0.0112,2.484
0.0114,2.544
0.0116,2.464
0.0118,2.538
0.0120,2.498
0.0122,2.458
0.0124,2.572
0.0126,2.508
0.0128,2.472
0.0130,2.594
0.0132,2.432
0.0134,2.522
0.0136,2.602
0.0138,2.448
0.0140,2.534
0.0142,2.552
0.0144,2.45
0.0146,2.514
0.0148,2.568
0.0150,2.476
0.0152,2.524
0.0154,2.566
0.0156,2.42
0.0158,2.622
0.0160,2.512
0.0162,2.508
0.0164,2.508
0.0166,2.558
0.0168,2.522
0.0170,2.5
0.0172,2.558
0.0174,2.492
0.0176,2.53
0.0178,2.582
0.0180,2.58
0.0182,2.436
0.0184,2.602
0.0186,2.492
0.0188,2.552
0.0190,2.542
0.0192,2.494
0.0194,2.63
0.0196,2.434
0.0198,2.572
0.0200,2.566
0.0202,2.462
0.0204,2.622
0.0206,2.506
0.0208,2.458
0.0210,2.66
0.0212,2.47
0.0214,2.484
0.0216,2.654
0.0218,2.41
0.0220,2.558
0.0222,2.542
0.0224,2.5
0.0226,2.5
0.0228,2.564
0.0230,2.484
0.0232,2.568
0.0234,2.484
0.0236,2.566
0.0238,2.52
0.0240,2.462
0.0242,2.574
0.0244,2.494
0.0246,2.49
0.0248,2.512
0.0250,2.522
0.0252,2.516
0.0254,2.522
0.0256,2.478
0.0258,2.544
0.0260,2.552
0.0262,2.44
0.0264,2.516
0.0266,2.556
0.0268,2.49
0.0270,2.524
0.0272,2.45
0.0274,2.564
0.0276,2.48
0.0278,2.47
0.0280,2.528
0.0282,2.494
0.0284,2.538
0.0286,2.52
0.0288,2.486
0.0290,2.528
0.0292,2.538
0.0294,2.47
0.0296,2.56
0.0298,2.47
0.0300,2.506
0.0302,2.572
0.0304,2.492
0.0306,2.464
0.0308,2.61
0.0310,2.468
0.0312,2.48
0.0314,2.568
0.0316,2.454
0.0318,2.58
0.0320,2.534
0.0322,2.472
0.0324,2.534
0.0326,2.588
0.0328,2.468
0.0330,2.522
0.0332,2.572
0.0334,2.512
0.0336,2.502
0.0338,2.564
0.0340,2.536
0.0342,2.538
0.0344,2.512
0.0346,2.572
0.0348,2.5
0.0350,2.52
0.0352,2.564
0.0354,2.602
0.0356,2.426
0.0358,2.586
0.0360,2.568
0.0362,2.47
0.0364,2.53
0.0366,2.578
0.0368,2.512
0.0370,2.502
0.0372,2.588
0.0374,2.506
0.0376,2.506
0.0378,2.586
0.0380,2.502
0.0382,2.538
0.0384,2.556
0.0386,2.524
0.0388,2.472
0.0390,2.55
0.0392,2.538
0.0394,2.516
0.0396,2.498
0.0398,2.556
0.0400,2.546
0.0402,2.468
0.0404,2.564
0.0406,2.534
0.0408,2.494
0.0410,2.508
0.0412,2.468
0.0414,2.552
0.0416,2.506
0.0418,2.508
0.0420,2.522
0.0422,2.522
0.0424,2.48
0.0426,2.506
0.0428,2.556
0.0430,2.458
0.0432,2.516
0.0434,2.542
0.0436,2.472
0.0438,2.508
0.0440,2.536
0.0442,2.48
0.0444,2.514
0.0446,2.538
0.0448,2.458
0.0450,2.542
0.0452,2.502
0.0454,2.502
0.0456,2.522
0.0458,2.53
0.0460,2.454
